"test_ligand" "auroc" "aupr" "aupr_corrected" "pearson"
"THBS4" 0.640425424823093 0.13329095644392 0.0534369965113226 0.125908999719364
"CXCL2" 0.640400437158891 0.134114660744557 0.0542607008119602 0.102293844286579
"FGF18" 0.640346227643944 0.129626255246629 0.0497722953140317 0.0811278860176397
"PENK" 0.640327501804889 0.132513366014067 0.0526594060814702 0.10825413043083
"IL2" 0.640303945415015 0.128555753952317 0.0487017940197204 0.0795246870372893
"HAPLN1" 0.640241148254144 0.132983062533978 0.0531291026013812 0.126094615166956
"CD48" 0.640051921861491 0.136402609331803 0.0565486493992058 0.104480342754675
"TYROBP" 0.639956384300489 0.137633721264479 0.0577797613318823 0.113945307800538
"FGF19" 0.639920363896731 0.128639167421638 0.0487852074890414 0.0346776728785036
"FGA" 0.639913505707263 0.13389615895972 0.0540421990271227 0.129417641555277
"CCL5" 0.639754932439674 0.137254625129292 0.0574006651966953 0.105252523284586
"DEFB103B" 0.639739248058574 0.137290292775384 0.0574363328427873 0.133107695482941
"PDCD1LG2" 0.63957852787949 0.137473864805432 0.0576199048728347 0.128756899168449
"FGB" 0.639378149474423 0.133740813186235 0.0538868532536381 0.130013414806991
"CD22" 0.639305870121157 0.135416752443305 0.055562792510708 0.133562735844694
"TNFSF15" 0.639240508593793 0.132907565719035 0.0530536057864377 0.100223339622504
"CCL20" 0.639234485314348 0.134509765857407 0.0546558059248104 0.092588478632639
"IL36G" 0.639225718759128 0.13282021626606 0.0529662563334636 0.0929317062840643
"PRND" 0.639217548568211 0.137591232393928 0.0577372724613309 0.137422132905387
"CD2" 0.63917150924419 0.136570614996273 0.0567166550636757 0.112877935938966
"SEMA3D" 0.63911223063268 0.132467206566485 0.0526132466338883 0.126318235752966
"ICAM1" 0.63891871041706 0.141367413751252 0.061513453818655 0.131737009704222
"SELL" 0.638840884875809 0.134036226033458 0.0541822661008607 0.0957441036678948
"S100A8" 0.638782321901477 0.134376165467648 0.0545222055350514 0.129127987326735
"SYT1" 0.638673366143708 0.135348690649671 0.0554947307170742 0.127740847540567
"SPP1" 0.638660305765526 0.136967199803314 0.0571132398707173 0.108030078009752
"TFPI" 0.63865994794694 0.13562369346935 0.055769733536753 0.0962436713665409
"FGF7" 0.638579379129907 0.131001799977612 0.0511478400450154 0.0665462731109277
"FGF9" 0.638483424113901 0.137619464950232 0.0577655050176348 0.136714837913472
"CXCL9" 0.638478235744483 0.138916146448043 0.0590621865154459 0.112931873322203
"CXCL16" 0.638422058227341 0.137405653638934 0.0575516937063369 0.120642847421086
"HLA-DQB1" 0.638399694566057 0.132274467446815 0.0524205075142183 0.0929169276080816
"FGF8" 0.638381505454893 0.131317696966502 0.0514637370339055 0.0596163108598355
"CEACAM1" 0.6383432785032 0.130941446610762 0.051087486678165 0.11501046635187
"HLA-C" 0.638295211540555 0.133444963040945 0.0535910031083482 0.131457226167527
"COL4A4" 0.638259131500364 0.134322211817224 0.054468251884627 0.125747144949954
"EFNB2" 0.638238378022683 0.132574297327049 0.0527203373944526 0.129527695771378
"COL12A1" 0.638213986722791 0.132775037268024 0.0529210773354275 0.128873474590237
"HSPG2" 0.638164190303677 0.131596194979505 0.0517422350469085 0.114488750188542
"MFGE8" 0.638126261534138 0.130921136548199 0.0510671766156023 0.117713800883646
"MSN" 0.638116361886737 0.131263752425774 0.0514097924931773 0.127970339185284
"HLA-DRA" 0.638035494887537 0.135315412146531 0.0554614522139341 0.123629029263422
"CD72" 0.637975679548175 0.132666150133872 0.0528121902012753 0.127656269999541
"CD40" 0.637953852614766 0.146481148129142 0.0666271881965456 0.118991022249606
"EFNA1" 0.637897138369756 0.133555348863149 0.0537013889305524 0.130193751895661
"PSG4" 0.637881096170063 0.132117129636032 0.0522631697034355 0.117646854705701
"NTF4" 0.637831061205237 0.129503960136711 0.049650000204114 0.0774498907252871
"WNT6" 0.63778227860542 0.128703086253152 0.0488491263205555 0.0841146714086995
"CCL8" 0.63775580003047 0.134845520675854 0.0549915607432576 0.132546218908874
"COL5A2" 0.637747987658126 0.132723484390021 0.0528695244574239 0.113710456223394
"LAMA5" 0.637702007970534 0.133953732109271 0.0540997721766741 0.131610076580262
"MPIG6B" 0.637701888697669 0.13380241787573 0.053948457943133 0.131610850341602
"MCAM" 0.63770087487835 0.131335722167561 0.0514817622349644 0.115558543484991
"CCL4L1" 0.637695805781807 0.133362285885769 0.0535083259531716 0.130084771627495
"ADAM2" 0.637674336666982 0.133809349731327 0.05395538979873 0.129676120666869
"CLEC3A" 0.637619948242746 0.135179177951822 0.0553252180192252 0.135724865056445
"FGFRL1" 0.637603309678751 0.127866582021236 0.0480126220886392 0.115175361510322
"HGF" 0.637592515484902 0.128187501333143 0.0483335414005462 0.0664595140669179
"TGFB3" 0.637591203483432 0.135268318114508 0.055414358181911 0.0989673245026817
"TRAF2" 0.637580528562457 0.134898840601496 0.0550448806688995 0.108302397342947
"CCN6" 0.637568660912863 0.130462229714484 0.0506082697818866 0.113341075007716
"COL5A3" 0.637550889256708 0.132084907090077 0.05223094715748 0.129863609517706
"CCL17" 0.637488330641551 0.133916319357089 0.0540623594244919 0.132320877898909
"LAMA3" 0.637485825911492 0.13327815176435 0.053424191831753 0.130071929195816
"ITGB2" 0.637471990259701 0.134356659543339 0.0545026996107421 0.125964416487923
"SIGLEC7" 0.637394462900599 0.13519054925181 0.0553365893192132 0.131623055135889
"SFTPD" 0.637326298461004 0.133323315659303 0.0534693557267066 0.11218178743203
"CCL25" 0.637322779911641 0.132024622766665 0.0521706628340681 0.0900658532951554
"ITGB1" 0.637311806808509 0.13272358979884 0.0528696298662427 0.113212317410878
"KL" 0.63728300241277 0.132708910516199 0.0528549505836023 0.121606138108889
"ARF1" 0.637251812559835 0.131241021973265 0.051387062040668 0.128232622629035
"CCL13" 0.637251633650552 0.13649050879077 0.056636548858173 0.104193274232161
"GSTP1" 0.637239169636663 0.131929595780512 0.0520756358479151 0.128717369888334
"COL5A1" 0.637226407440622 0.13269272663391 0.0528387667013128 0.108752726391278
"COL6A6" 0.637195933224848 0.131102068854744 0.0512481089221469 0.127916295604046
"UCN3" 0.63713957679842 0.13420478797124 0.0543508280386429 0.130789533570289
"CLEC2D" 0.637133016791118 0.126625157056123 0.0467711971235265 0.0555941806907541
