"","gene_short_name","term","q_value","normalized_effect"
"201","AC007450.1","tissueLP",1,-0.164099124854027
"202","AC007513.1","tissueLP",1,-0.420015135606334
"203","AC007541.1","tissueLP",3.89918702475983e-06,-0.974512658693567
"204","AC007566.1","tissueLP",1,0.020109174774909
"205","AC007569.1","tissueLP",6.54624754356314e-08,-0.924051995885247
"206","AC007613.1","tissueLP",1,-0.973596264356914
"207","AC007619.1","tissueLP",1,-0.132005556649963
"208","AC007622.2","tissueLP",1,-0.0925919197592622
"209","AC007686.4","tissueLP",1,-0.928651893645908
"210","AC007728.1","tissueLP",0.00171983297857985,0.988502165016777
"211","AC007728.2","tissueLP",0.0032732626138034,-0.704446398680519
"212","AC007773.1","tissueLP",1,-0.291315336909026
"213","AC007780.1","tissueLP",0.00126810727957634,-0.762452091139501
"214","AC007786.1","tissueLP",1,-0.445089520263776
"215","AC007881.3","tissueLP",1,-0.0428075755054059
"216","AC007952.4","tissueLP",2.9225904450589e-26,-0.888166251796096
"217","AC008014.1","tissueLP",1,-0.327970973698719
"218","AC008035.1","tissueLP",1,-0.0147385226603891
"219","AC008040.1","tissueLP",0.377438388694659,-0.862153048613121
"220","AC008063.1","tissueLP",1,-1.63606004686395
"221","AC008074.2","tissueLP",9.09513700408817e-06,-0.840079898191713
"222","AC008083.2","tissueLP",1,-0.62489434439901
"223","AC008083.3","tissueLP",1,-0.292839107076353
"224","AC008105.1","tissueLP",1,-0.275979457132958
"225","AC008105.3","tissueLP",1,-0.0551823267600793
"226","AC008115.1","tissueLP",1,-0.814222023747643
"227","AC008124.1","tissueLP",1,-0.229643532679736
"228","AC008149.2","tissueLP",1,-0.359695284767884
"229","AC008267.5","tissueLP",0.0771520750875556,-0.589182093797061
"230","AC008269.1","tissueLP",1,-0.359695284757175
"231","AC008378.1","tissueLP",1,-0.539104050142162
"232","AC008393.1","tissueLP",1,-0.576331150937807
"233","AC008397.1","tissueLP",1,0.0229126724516937
"234","AC008438.1","tissueLP",1,-0.504058163390334
"235","AC008440.1","tissueLP",1.9664484497756e-32,-1.37813034986815
"236","AC008440.2","tissueLP",1,0.478209727774873
"237","AC008443.1","tissueLP",1,0.0727369114120855
"238","AC008443.5","tissueLP",0.618630370467091,-0.580192338517395
"239","AC008462.1","tissueLP",0.750092231643258,-0.547304634385513
"240","AC008467.1","tissueLP",1,-0.379804465275277
"241","AC008537.4","tissueLP",1,-0.388403382003112
"242","AC008549.2","tissueLP",1,-0.347587140774455
"243","AC008554.1","tissueLP",1,-0.249847698024047
"244","AC008555.2","tissueLP",1,-0.325910401582728
"245","AC008555.4","tissueLP",1,-0.266601148643631
"246","AC008569.1","tissueLP",1,0.406423748453748
"247","AC008569.2","tissueLP",1,-0.0428075755054059
"248","AC008608.2","tissueLP",1,-0.42188604524666
"249","AC008610.1","tissueLP",1,-0.523648398368771
"250","AC008622.2","tissueLP",1,0.521174002456254
"251","AC008629.1","tissueLP",1,-1.12071383755681
"252","AC008649.2","tissueLP",1,-0.62489434439901
"253","AC008667.1","tissueLP",0.000173238759933582,2.4157039265066e-11
"254","AC008696.2","tissueLP",1,-0.361517078321916
"255","AC008735.2","tissueLP",1,0.0941606190825344
