,log2fold,pval_adj
SKAP1,0.5042967200279236,1.0
AC015849.1,1.754008173942566,1.0
IL32,0.25386396050453186,1.0
CCL4L2,0.6396260857582092,1.0
TUBA4A,0.5832170248031616,1.0
MAPRE2,0.43011581897735596,1.0
ITGB2,0.3691651523113251,1.0
TMA7,0.2298079878091812,1.0
CHCHD7,0.872636616230011,1.0
ERVK3-1,1.306280493736267,1.0
TRAF3IP3,0.8266201615333557,1.0
CTSW,0.4079945981502533,1.0
KLRC4,0.615909993648529,1.0
CLDND1,0.9722291231155396,1.0
FIP1L1,1.666966438293457,1.0
SYTL3,0.3900371193885803,1.0
DDT,0.6124370694160461,1.0
UCHL5,1.622137188911438,1.0
CNTRL,1.1236177682876587,1.0
CD99,0.3698826730251312,1.0
OPA1,1.622137188911438,1.0
NIN,1.622137188911438,1.0
HECTD1,1.4012267589569092,1.0
GBP4,2.3796024322509766,1.0
FAM49B,0.5608247518539429,1.0
TAF9,2.3796024322509766,1.0
TBK1,2.3256895542144775,1.0
PHIP,1.1692283153533936,1.0
HBS1L,1.5486149787902832,1.0
CUL1,2.2933292388916016,1.0
NUCB1,1.0802229642868042,1.0
MRPL52,0.8184787034988403,1.0
RAPGEF1,0.9323915243148804,1.0
ARNTL,26.850648880004883,1.0
LATS1,26.93073844909668,1.0
DHX15,1.7325228452682495,1.0
CENPX,26.89118766784668,1.0
HERC4,26.80906867980957,1.0
KRAS,1.7397639751434326,1.0
PNKP,26.850648880004883,1.0
MYSM1,26.80906867980957,1.0
RMC1,26.796785354614258,1.0
ANKRD36C,1.3128069639205933,1.0
UBE2K,1.7462048530578613,1.0
NIFK,1.6612319946289062,1.0
ICAM3,0.6839686632156372,1.0
VAMP5,0.9681383967399597,1.0
OGDH,1.7179889678955078,1.0
PICALM,1.0387119054794312,1.0
GLRX,1.0405128002166748,1.0
MRPL47,1.2344413995742798,1.0
SYTL2,1.0569027662277222,1.0
TBCB,1.068597674369812,1.0
AC004687.1,1.6109697818756104,1.0
RAD23A,0.9376251101493835,1.0
ARF4,0.58589768409729,1.0
RSBN1L,1.6179035902023315,1.0
SMC5,1.062731385231018,1.0
IWS1,2.4702343940734863,1.0
IFITM1,0.3040590286254883,1.0
ZNRD1,1.1869500875473022,1.0
ELF1,0.43372300267219543,1.0
RBM8A,0.4276942312717438,1.0
KLHL24,1.5566492080688477,1.0
BATF,1.070997953414917,1.0
KLRD1,0.34662672877311707,1.0
LDHB,0.3727705776691437,1.0
ACAP2,2.4103565216064453,1.0
KLRG1,0.6135116219520569,1.0
SLA2,1.3878989219665527,1.0
AL118516.1,2.343235492706299,1.0
ADSS,0.6900981664657593,1.0
SERTAD3,2.2699828147888184,1.0
FAM111A,2.311215877532959,1.0
AP001011.1,2.2699828147888184,1.0
YY1AP1,2.236511707305908,1.0
TMED4,1.0263043642044067,1.0
STIP1,0.687594473361969,1.0
NPC2,2.2023520469665527,1.0
P4HB,2.2023520469665527,1.0
FAM53B,1.1510777473449707,1.0
TAX1BP1,0.4547286033630371,1.0
TMEM39A,2.1674723625183105,1.0
ABHD2,2.1674723625183105,1.0
GBP3,26.80906867980957,1.0
TMEM71,26.69068717956543,1.0
GPR141,26.821258544921875,1.0
NDUFS4,26.735401153564453,1.0
PRDM1,0.7987987399101257,1.0
HLA-DPA1,0.47759678959846497,1.0
TRMT112,0.48101192712783813,1.0
NARF,1.5488274097442627,1.0
EDF1,0.4363551437854767,1.0
ATP5ME,0.5955801010131836,1.0
FOXN2,1.6560847759246826,1.0
BRK1,0.5984509587287903,1.0
LINC00623,1.2276219129562378,1.0
KDELR1,1.0773981809616089,1.0
CD3G,0.31176209449768066,1.0
XRCC6,0.5713966488838196,1.0
NOSIP,1.001265287399292,1.0
NKG7,0.20587988197803497,1.0
EFNA5,2.388594150543213,1.0
SGCD,2.3122060298919678,1.0
ANP32B,1.480205774307251,1.0
PUM2,1.12050461769104,1.0
