,log2fold,pval_adj
SMARCAL1,1.510712742805481,1.0
NDUFB8,0.3624018132686615,1.0
RMC1,0.8466211557388306,1.0
SENP6,0.3446401357650757,1.0
CLEC2B,0.25581932067871094,1.0
C9orf72,0.5723363757133484,1.0
MCM9,0.7216344475746155,1.0
CCDC66,0.5568987727165222,1.0
MGAT4A,0.291807621717453,1.0
TNFRSF9,1.0473027229309082,1.0
SLC35F5,1.644869089126587,1.0
PAPSS1,1.2752670049667358,1.0
FLI1,0.4787827730178833,1.0
GPR132,0.4070180058479309,1.0
SPTLC1,0.9802666306495667,1.0
C1D,0.6393548846244812,1.0
RHOQ,1.0618289709091187,1.0
CEP350,0.3558872938156128,1.0
SLF2,1.5904234647750854,1.0
ARHGEF12,0.43937140703201294,1.0
UBE2V2,0.7584629654884338,1.0
HOXB4,1.7930678129196167,1.0
MPHOSPH9,0.6866733431816101,1.0
TRBV9,2.427896738052368,1.0
CEP192,0.8913115859031677,1.0
RASA2,0.2360757291316986,1.0
ITGA1,0.37578874826431274,1.0
CCDC85C,1.110168218612671,1.0
AGGF1,0.9569313526153564,1.0
CDK13,0.43488791584968567,1.0
CIRBP,0.16033433377742767,1.0
MEF2A,0.5519934892654419,1.0
MRPS5,0.4909130930900574,1.0
ZZEF1,0.5877271890640259,1.0
YY1,0.3037467300891876,1.0
SEC24B,0.6897215247154236,1.0
TGOLN2,0.33689889311790466,1.0
CCL4,0.3966754972934723,1.0
H3F3B,0.15711642801761627,1.0
JAK1,0.20756715536117554,1.0
EID1,0.29168614745140076,1.0
RNPC3,0.8165304064750671,1.0
TCF25,0.2717863619327545,1.0
LNPEP,0.28280648589134216,1.0
CCDC186,0.463716596364975,1.0
RALBP1,0.7010597586631775,1.0
OAT,0.3904767334461212,1.0
CUEDC2,0.7877020239830017,1.0
ATP9B,0.5269771814346313,1.0
STK25,0.7300819158554077,1.0
APBB1IP,0.1761070340871811,1.0
INTS6L,0.5837538838386536,1.0
VAV3,0.5292142629623413,1.0
DUSP1,0.18418414890766144,1.0
SPINDOC,0.8702938556671143,1.0
HS2ST1,0.8702938556671143,1.0
ASXL2,0.4755580425262451,1.0
PTEN,0.37766245007514954,1.0
SKAP2,0.7558921575546265,1.0
UBE2H,0.5308991074562073,1.0
SNX9,0.2979387640953064,1.0
LENG8,0.5511879324913025,1.0
HACE1,1.4288424253463745,1.0
RBL2,0.41127216815948486,1.0
PCF11,0.44078221917152405,1.0
MAPK6,0.7048165798187256,1.0
IL6ST,0.31834232807159424,1.0
POMP,0.3471595346927643,1.0
SUCLG1,0.5648530125617981,1.0
PMM2,0.7372962236404419,1.0
VMAC,2.537297487258911,1.0
CASS4,1.0155670642852783,1.0
INPP4A,0.41678935289382935,1.0
SPTAN1,0.2967897653579712,1.0
SLC39A9,1.1939005851745605,1.0
LRRC8C,0.42159610986709595,1.0
IRF2BP1,1.3252402544021606,1.0
FCHSD2,0.5547241568565369,1.0
PTPRC,0.11953967064619064,1.0
ANKRD44,0.2040337175130844,1.0
UTY,0.32099834084510803,1.0
ZNF281,1.0880531072616577,1.0
NAA15,0.5833249688148499,1.0
ITPK1,0.6515170335769653,1.0
HCLS1,0.20737800002098083,1.0
CLECL1,0.6816021203994751,1.0
HERC1,0.3323781490325928,1.0
METTL5,0.8541626334190369,1.0
VPS13C,0.24376574158668518,1.0
HMGN1,0.18027347326278687,1.0
HPGD,0.7625965476036072,1.0
RMND5A,0.34808024764060974,1.0
MAN2A2,1.2058883905410767,1.0
CD84,1.0103144645690918,1.0
CTSD,0.22526679933071136,1.0
UAP1,0.5335294008255005,1.0
CNOT11,0.7894243001937866,1.0
RNF115,0.5516834259033203,1.0
PICALM,0.36240673065185547,1.0
ANXA5,0.27289271354675293,1.0
SRI,0.37206751108169556,1.0
LEMD2,0.97927325963974,1.0
FAM162A,0.6629083156585693,1.0
CERK,0.43894946575164795,1.0
CCSAP,1.1048569679260254,1.0
ESYT1,0.6815410256385803,1.0
ARHGAP4,0.4072923958301544,1.0
VRK2,0.6217699646949768,1.0
CCDC126,1.6152961254119873,1.0
GBE1,1.356256365776062,1.0
COQ9,1.5622318983078003,1.0
IGFLR1,0.6024582386016846,1.0
UBA3,0.49527135491371155,1.0
SIDT1,0.6480260491371155,1.0
MRRF,1.2371455430984497,1.0
CRY2,0.9143128395080566,1.0
FLYWCH1,0.9143128395080566,1.0
VTI1A,0.4330824911594391,1.0
PAIP1,0.5524922609329224,1.0
SPIN1,0.6991302371025085,1.0
JUNB,0.08115283399820328,1.0
USP15,0.2497917115688324,1.0
ICK,1.8064147233963013,1.0
EMC10,0.6591198444366455,1.0
GLCCI1,0.3820422887802124,1.0
GOSR2,1.0003825426101685,1.0
ZFC3H1,0.3542410135269165,1.0
WNK1,0.24809138476848602,1.0
ZDHHC13,1.3217072486877441,1.0
SIPA1L1,0.3730156123638153,1.0
DIDO1,0.7056271433830261,1.0
FEM1C,0.6698068976402283,1.0
SRSF8,0.6141270995140076,1.0
BX664615.2,1.5467510223388672,1.0
USP22,0.39396023750305176,1.0
ETS1,0.13737045228481293,1.0
NDUFB5,0.5496782064437866,1.0
ORC4,0.6700880527496338,1.0
BCLAF1,0.15232108533382416,1.0
RBPJ,0.4583287239074707,1.0
SUPT16H,0.48802706599235535,1.0
PPP1R21,0.6178410053253174,1.0
TRIM27,0.6616289615631104,1.0
PCM1,0.25201529264450073,1.0
RHBDD1,0.9839522838592529,1.0
