,0
532,ACACB
533,ACAD10
534,ACAD11
535,ACAD8
536,ACAD9
537,ACADM
538,ACADS
539,ACADSB
540,ACADVL
541,ACAP1
542,ACAP2
543,ACAP3
544,ACAT1
545,ACAT2
546,ACBD3
547,ACBD4
548,ACBD5
549,ACBD6
550,ACCS
551,ACD
552,ACER2
553,ACER3
554,ACIN1
555,ACLY
556,ACO1
557,ACO2
558,ACOT13
559,ACOT2
560,ACOT4
561,ACOT7
562,ACOT8
563,ACOT9
564,ACOX1
565,ACOX3
566,ACOXL
567,ACP1
568,ACP2
569,ACP5
570,ACP6
571,ACSF2
572,ACSF3
573,ACSL1
574,ACSL3
575,ACSL4
576,ACSL5
577,ACSL6
578,ACSM3
579,ACSS1
580,ACSS2
581,ACTA2
582,ACTB
583,ACTG1
584,ACTL6A
585,ACTN4
586,ACTR10
587,ACTR1A
588,ACTR1B
589,ACTR2
590,ACTR3
591,ACTR3B
592,ACTR3C
593,ACTR5
594,ACTR6
595,ACTR8
596,ACVR1
597,ACVR1B
598,ACVR1C
599,ACVR2A
600,ACY1
601,ACYP1
602,ACYP2
603,AD000090.1
604,ADA
605,ADA2
606,ADAL
607,ADAM10
608,ADAM12
609,ADAM15
610,ADAM17
611,ADAM19
612,ADAM22
613,ADAM23
614,ADAM28
615,ADAM8
616,ADAM9
617,ADAMTS17
618,ADAMTS6
619,ADAMTSL4-AS1
620,ADAMTSL5
621,ADAP1
622,ADAR
623,ADARB1
624,ADARB2
625,ADAT1
626,ADAT2
627,ADAT3
628,ADCK1
629,ADCK2
630,ADCK5
631,ADCY3
632,ADCY7
633,ADCY9
634,ADD1
635,ADD3
636,ADGRE5
637,ADGRF3
638,ADGRG1
639,ADGRG5
640,ADGRL1
641,ADGRV1
642,ADH5
643,ADHFE1
644,ADI1
645,ADIPOR1
646,ADIPOR2
647,ADK
648,ADNP
649,ADNP-AS1
650,ADNP2
651,ADO
652,ADORA2A
653,ADPGK
654,ADPGK-AS1
655,ADPRHL2
656,ADPRM
657,ADRB1
658,ADRB2
659,ADRM1
660,ADSL
661,ADSS
662,AEBP2
663,AEN
664,AF111167.1
665,AF117829.1
666,AF165147.1
667,AF213884.3
668,AFAP1
669,AFAP1L2
670,AFDN
671,AFF1
672,AFF3
673,AFF4
674,AFG1L
675,AFG3L2
676,AFMID
677,AFTPH
678,AGA
679,AGAP1
680,AGAP2
681,AGAP3
682,AGAP4
683,AGBL2
684,AGBL3
685,AGBL5
686,AGER
687,AGFG1
688,AGFG2
689,AGGF1
690,AGK
691,AGL
692,AGO1
693,AGO2
694,AGO3
695,AGO4
696,AGPAT1
697,AGPAT2
698,AGPAT3
699,AGPAT4
700,AGPAT5
701,AGPS
702,AGTPBP1
703,AGTRAP
704,AHCTF1
705,AHCY
706,AHCYL1
707,AHCYL2
708,AHDC1
709,AHI1
710,AHNAK
711,AHR
712,AHRR
713,AHSA1
714,AIDA
715,AIF1
716,AIFM1
717,AIFM2
718,AIG1
719,AIM2
720,AIMP1
721,AIMP2
722,AIP
723,AJM1
724,AK1
725,AK2
726,AK3
727,AK6
728,AK9
729,AKAP1
730,AKAP10
731,AKAP11
732,AKAP13
733,AKAP17A
734,AKAP5
735,AKAP7
736,AKAP8
737,AKAP8L
738,AKAP9
739,AKIP1
740,AKIRIN1
741,AKIRIN2
742,AKNA
743,AKR1A1
744,AKR1B1
745,AKR7A2
746,AKT1
747,AKT1S1
748,AKT2
749,AKT3
750,AKTIP
751,AL021155.5
752,AL021396.1
753,AL021707.1
754,AL021918.5
755,AL022328.4
756,AL022345.4
757,AL031428.1
758,AL031602.2
759,AL031727.2
760,AL031728.1
761,AL031772.1
762,AL031963.3
763,AL034397.3
764,AL035530.2
765,AL035587.2
766,AL035634.1
767,AL035661.2
768,AL049780.2
769,AL049828.1
770,AL049869.3
771,AL050309.1
772,AL050341.2
773,AL078459.1
774,AL078600.1
775,AL080250.1
776,AL080276.2
777,AL096677.1
778,AL096794.1
779,AL096870.8
780,AL109761.1
781,AL110114.1
782,AL117332.1
783,AL117336.2
784,AL118516.1
785,AL118558.3
786,AL121574.1
787,AL121603.2
788,AL121820.1
789,AL121832.2
790,AL121935.1
791,AL121944.1
792,AL121985.1
793,AL122035.1
794,AL132780.1
795,AL132996.1
796,AL133268.4
797,AL133330.1
798,AL133415.1
799,AL133477.2
800,AL133480.1
801,AL133493.1
802,AL133523.1
803,AL135791.1
804,AL135818.1
805,AL135905.2
806,AL135925.1
807,AL135999.1
808,AL136038.3
809,AL136038.5
810,AL136040.2
811,AL136320.1
812,AL136454.1
813,AL136456.1
814,AL136962.1
815,AL136987.1
816,AL137003.1
817,AL137009.1
818,AL137779.2
819,AL137856.1
820,AL138720.1
821,AL138724.1
822,AL138778.1
823,AL138930.1
824,AL138963.4
825,AL138966.2
826,AL139011.1
827,AL139089.1
828,AL139099.1
829,AL139106.1
830,AL139246.5
831,AL139260.1
832,AL139274.2
833,AL139317.5
834,AL139383.1
835,AL139393.3
836,AL139807.1
837,AL157392.3
838,AL157394.3
839,AL157402.2
840,AL157756.1
841,AL157786.1
842,AL157912.1
843,AL157938.2
844,AL158071.1
845,AL158071.3
846,AL158071.4
847,AL158152.1
848,AL158198.1
849,AL158207.2
850,AL158801.3
851,AL158832.1
852,AL160408.2
853,AL161421.1
854,AL162231.2
855,AL162253.2
856,AL162258.2
857,AL162377.1
858,AL162458.1
859,AL163051.1
860,AL163973.2
861,AL353194.1
862,AL353708.3
863,AL353719.1
864,AL353759.1
865,AL353807.5
866,AL354710.2
867,AL354733.3
868,AL354740.1
869,AL354920.1
870,AL355001.2
871,AL355075.3
872,AL355075.4
873,AL355304.1
874,AL355490.2
875,AL355916.1
876,AL356020.1
877,AL356124.1
878,AL356234.2
879,AL356417.1
880,AL356417.3
881,AL356488.3
882,AL356512.1
883,AL356599.1
884,AL357054.4
885,AL357992.1
886,AL359220.1
887,AL359232.1
888,AL359513.1
889,AL360091.3
890,AL360270.3
891,AL365272.1
892,AL365295.1
893,AL365356.1
894,AL365361.1
895,AL390728.5
896,AL390728.6
897,AL390957.1
898,AL391069.2
899,AL391832.4
900,AL391839.1
901,AL391839.3
902,AL391863.1
903,AL392023.2
904,AL392046.1
905,AL392086.3
906,AL392172.1
907,AL441992.1
908,AL442067.3
909,AL442663.3
910,AL445524.1
911,AL450322.2
912,AL450352.1
913,AL450992.1
914,AL450992.3
915,AL450998.2
916,AL451085.1
917,AL451085.2
918,AL451165.2
919,AL499604.1
920,AL512625.3
921,AL512791.2
922,AL513303.1
923,AL513550.1
924,AL589990.1
925,AL590068.4
926,AL590550.1
927,AL590764.1
928,AL591043.2
929,AL591368.1
930,AL591846.2
931,AL591895.1
932,AL592183.1
933,AL592295.4
934,AL592429.2
935,AL596214.1
936,AL603756.1
937,AL603839.3
938,AL606489.1
939,AL606760.3
940,AL606807.1
941,AL627171.1
942,AL627171.2
943,AL645465.1
944,AL645568.1
945,AL645728.1
946,AL645941.3
947,AL662844.4
948,AL683807.1
949,AL691403.1
950,AL691432.2
951,AL731577.2
952,ALAD
953,ALAS1
954,ALCAM
955,ALDH16A1
956,ALDH18A1
957,ALDH3A2
958,ALDH6A1
959,ALDH9A1
960,ALDOA
961,ALDOC
962,ALG1
963,ALG10
964,ALG10B
965,ALG11
966,ALG12
967,ALG13
968,ALG14
969,ALG1L2
970,ALG1L9P
971,ALG2
972,ALG3
973,ALG5
974,ALG6
975,ALG8
976,ALG9
977,ALKBH1
978,ALKBH2
979,ALKBH3
980,ALKBH4
981,ALKBH5
982,ALKBH6
983,ALKBH7
984,ALKBH8
985,ALMS1
986,ALOX12-AS1
987,ALOX5AP
988,ALPK1
989,ALPK2
990,ALS2
991,ALYREF
992,AMACR
993,AMBRA1
994,AMD1
995,AMDHD2
996,AMFR
997,AMIGO2
998,AMMECR1
999,AMMECR1L
1000,AMN1
1001,AMPD2
1002,AMPD3
1003,AMZ1
1004,AMZ2
1005,ANAPC1
1006,ANAPC10
1007,ANAPC11
1008,ANAPC13
1009,ANAPC15
1010,ANAPC16
1011,ANAPC2
1012,ANAPC4
1013,ANAPC5
1014,ANAPC7
1015,ANGEL1
1016,ANGEL2
1017,ANK3
1018,ANKAR
1019,ANKDD1A
1020,ANKEF1
1021,ANKFY1
1022,ANKH
1023,ANKHD1
1024,ANKIB1
1025,ANKLE2
1026,ANKMY1
1027,ANKMY2
1028,ANKRA2
1029,ANKRD10
1030,ANKRD11
1031,ANKRD12
1032,ANKRD13A
1033,ANKRD13C
1034,ANKRD13D
1035,ANKRD16
1036,ANKRD17
1037,ANKRD23
1038,ANKRD26
1039,ANKRD27
1040,ANKRD28
1041,ANKRD30BL
1042,ANKRD33B
1043,ANKRD34A
1044,ANKRD35
1045,ANKRD36
1046,ANKRD36B
1047,ANKRD36C
1048,ANKRD37
1049,ANKRD39
1050,ANKRD40
1051,ANKRD42
1052,ANKRD44
1053,ANKRD46
1054,ANKRD49
1055,ANKRD52
1056,ANKRD54
1057,ANKRD9
1058,ANKS1A
1059,ANKS3
1060,ANKS6
1061,ANKUB1
1062,ANKZF1
1063,ANO10
1064,ANO6
1065,ANO8
1066,ANO9
1067,ANP32A
1068,ANP32B
1069,ANP32E
1070,ANTKMT
1071,ANTXR2
1072,ANXA1
1073,ANXA11
1074,ANXA2
1075,ANXA2R
1076,ANXA4
1077,ANXA5
1078,ANXA6
1079,ANXA7
1080,AOAH
1081,AOPEP
1082,AP000331.1
1083,AP000442.1
1084,AP000446.1
1085,AP000763.3
1086,AP000787.1
1087,AP000873.2
1088,AP000919.2
1089,AP000919.3
1090,AP000926.2
1091,AP001011.1
1092,AP001267.1
1093,AP001318.2
1094,AP001347.1
1095,AP001816.1
1096,AP002336.2
1097,AP002360.1
1098,AP002381.2
1099,AP002387.2
1100,AP002490.1
1101,AP002495.1
1102,AP002748.4
1103,AP002762.2
1104,AP003086.1
1105,AP003307.1
1106,AP003392.5
1107,AP003472.1
1108,AP003717.4
1109,AP003721.4
1110,AP003774.2
1111,AP004609.3
1112,AP005019.1
1113,AP005131.5
1114,AP005329.1
1115,AP005329.3
1116,AP005482.1
1117,AP006565.1
1118,AP006621.3
1119,AP1AR
1120,AP1B1
1121,AP1G1
1122,AP1G2
1123,AP1M1
1124,AP1S1
1125,AP1S2
1126,AP1S3
1127,AP2A1
1128,AP2A2
1129,AP2B1
1130,AP2M1
1131,AP2S1
1132,AP3B1
1133,AP3D1
1134,AP3M1
1135,AP3M2
1136,AP3S1
1137,AP3S2
1138,AP4B1
1139,AP4B1-AS1
1140,AP4E1
1141,AP4M1
1142,AP4S1
1143,AP5B1
1144,AP5M1
1145,AP5S1
1146,AP5Z1
1147,APAF1
1148,APBA2
1149,APBA3
1150,APBB1
1151,APBB1IP
1152,APBB3
1153,APC
1154,APEH
1155,APEX1
1156,APEX2
1157,APH1A
1158,APH1B
1159,API5
1160,APIP
1161,APLF
1162,APLP2
1163,APMAP
1164,APOA1
1165,APOA1-AS
1166,APOBEC3C
1167,APOBEC3D
1168,APOBEC3F
1169,APOBEC3G
1170,APOBEC3H
1171,APOBR
1172,APOL1
1173,APOL2
1174,APOL3
1175,APOL6
1176,APOLD1
1177,APOM
1178,APOO
1179,APOOL
1180,APP
1181,APPBP2
1182,APPL1
1183,APPL2
1184,APRT
1185,APTR
1186,APTX
1187,AQP3
1188,AQR
1189,ARAF
1190,ARAP1
1191,ARAP2
1192,ARCN1
1193,AREG
1194,AREL1
1195,ARF1
1196,ARF3
1197,ARF4
1198,ARF4-AS1
1199,ARF5
1200,ARF6
1201,ARFGAP1
1202,ARFGAP2
1203,ARFGAP3
1204,ARFGEF1
1205,ARFGEF2
1206,ARFIP1
1207,ARFIP2
1208,ARFRP1
1209,ARG2
1210,ARGLU1
1211,ARHGAP1
1212,ARHGAP10
1213,ARHGAP11A
1214,ARHGAP12
1215,ARHGAP15
1216,ARHGAP17
1217,ARHGAP18
1218,ARHGAP19
1219,ARHGAP21
1220,ARHGAP25
1221,ARHGAP26
1222,ARHGAP27
1223,ARHGAP30
1224,ARHGAP31
1225,ARHGAP33
1226,ARHGAP35
1227,ARHGAP4
1228,ARHGAP45
1229,ARHGAP5
1230,ARHGAP9
1231,ARHGDIA
1232,ARHGDIB
1233,ARHGEF1
1234,ARHGEF12
1235,ARHGEF18
1236,ARHGEF19
1237,ARHGEF2
1238,ARHGEF3
1239,ARHGEF40
1240,ARHGEF6
1241,ARHGEF7
1242,ARHGEF9
1243,ARID1A
1244,ARID1B
1245,ARID2
1246,ARID3A
1247,ARID3B
1248,ARID4A
1249,ARID4B
1250,ARID5A
