,0
1041,ARMCX4
1042,ARMCX5-GPRASP2
1043,ARMCX6
1044,ARMH1
1045,ARMH3
1046,ARMH4
1047,ARMT1
1048,ARNT
1049,ARNTL
1050,ARPC1A
1051,ARPC1B
1052,ARPC2
1053,ARPC3
1054,ARPC4
1055,ARPC5
1056,ARPC5L
1057,ARPP19
1058,ARRB1
1059,ARRB2
1060,ARRDC1
1061,ARRDC1-AS1
1062,ARRDC2
1063,ARRDC3
1064,ARRDC3-AS1
1065,ARSA
1066,ARSB
1067,ARSG
1068,ARSK
1069,ARV1
1070,ASAH1
1071,ASAP1
1072,ASB1
1073,ASB16-AS1
1074,ASB2
1075,ASB3
1076,ASB6
1077,ASB7
1078,ASB8
1079,ASCC1
1080,ASCC2
1081,ASCC3
1082,ASF1A
1083,ASF1B
1084,ASH1L
1085,ASH1L-AS1
1086,ASH2L
1087,ASIP
1088,ASL
1089,ASMTL
1090,ASNS
1091,ASNSD1
1092,ASPH
1093,ASPSCR1
1094,ASTE1
1095,ASTL
1096,ASTN2
1097,ASXL1
1098,ASXL2
1099,ATAD1
1100,ATAD2
1101,ATAD2B
1102,ATAD3A
1103,ATAD3B
1104,ATAD5
1105,ATAT1
1106,ATE1
1107,ATF1
1108,ATF2
1109,ATF3
1110,ATF4
1111,ATF5
1112,ATF6
1113,ATF6B
1114,ATF7
1115,ATF7IP
1116,ATF7IP2
1117,ATG10
1118,ATG101
1119,ATG12
1120,ATG13
1121,ATG14
1122,ATG16L1
1123,ATG16L2
1124,ATG2A
1125,ATG2B
1126,ATG3
1127,ATG4A
1128,ATG4B
1129,ATG4C
1130,ATG4D
1131,ATG5
1132,ATG7
1133,ATG9A
1134,ATIC
1135,ATL1
1136,ATL2
1137,ATL3
1138,ATM
1139,ATMIN
1140,ATN1
1141,ATOX1
1142,ATP10A
1143,ATP10D
1144,ATP11A
1145,ATP11B
1146,ATP11C
1147,ATP13A1
1148,ATP13A2
1149,ATP13A3
1150,ATP1A1
1151,ATP1A1-AS1
1152,ATP1A3
1153,ATP1B1
1154,ATP1B2
1155,ATP1B3
1156,ATP23
1157,ATP2A2
1158,ATP2A3
1159,ATP2B1
1160,ATP2B1-AS1
1161,ATP2B4
1162,ATP2C1
1163,ATP5F1A
1164,ATP5F1B
1165,ATP5F1C
1166,ATP5F1D
1167,ATP5F1E
1168,ATP5IF1
1169,ATP5MC1
1170,ATP5MC2
1171,ATP5MC3
1172,ATP5MD
1173,ATP5ME
1174,ATP5MF
1175,ATP5MG
1176,ATP5MPL
1177,ATP5PB
1178,ATP5PD
1179,ATP5PF
1180,ATP5PO
1181,ATP6AP1
1182,ATP6AP2
1183,ATP6V0A2
1184,ATP6V0B
1185,ATP6V0C
1186,ATP6V0D1
1187,ATP6V0E1
1188,ATP6V0E2
1189,ATP6V1A
1190,ATP6V1B2
1191,ATP6V1C1
1192,ATP6V1D
1193,ATP6V1E1
1194,ATP6V1E2
1195,ATP6V1F
1196,ATP6V1G1
1197,ATP6V1H
1198,ATP7A
1199,ATP8A1
1200,ATP8B2
1201,ATP8B4
1202,ATP9B
1203,ATPAF1
1204,ATPAF2
1205,ATR
1206,ATRAID
1207,ATRIP
1208,ATRN
1209,ATRX
1210,ATXN1
1211,ATXN10
1212,ATXN1L
1213,ATXN2
1214,ATXN2L
1215,ATXN3
1216,ATXN7
1217,ATXN7L1
1218,ATXN7L2
1219,ATXN7L3
1220,ATXN7L3B
1221,AUH
1222,AUP1
1223,AURKA
1224,AURKAIP1
1225,AUTS2
1226,AVEN
1227,AVL9
1228,AVPI1
1229,AXIN1
1230,AZI2
1231,AZIN1
1232,AZIN2
1233,B2M
1234,B3GALNT2
1235,B3GALT2
1236,B3GALT4
1237,B3GALT6
1238,B3GAT3
1239,B3GLCT
1240,B3GNT2
1241,B3GNT5
1242,B3GNT7
1243,B3GNTL1
1244,B4GALT1
1245,B4GALT3
1246,B4GALT4
1247,B4GALT5
1248,B4GALT7
1249,B9D2
1250,BABAM1
1251,BABAM2
1252,BACH1
1253,BACH2
1254,BAD
1255,BAG1
1256,BAG2
1257,BAG3
1258,BAG4
1259,BAG5
1260,BAG6
1261,BAHD1
1262,BAIAP2
1263,BAIAP3
1264,BAK1
1265,BAMBI
1266,BANF1
1267,BANP
1268,BAP1
1269,BARD1
1270,BATF
1271,BATF3
1272,BAX
1273,BAZ1A
1274,BAZ1B
1275,BAZ2A
1276,BAZ2B
1277,BBC3
1278,BBIP1
1279,BBOF1
1280,BBS1
1281,BBS12
1282,BBS2
1283,BBS4
1284,BBS7
1285,BBS9
1286,BBX
1287,BCAP29
1288,BCAP31
1289,BCAR3
1290,BCAS2
1291,BCAS3
1292,BCAS4
1293,BCAT1
1294,BCAT2
1295,BCCIP
1296,BCDIN3D
1297,BCKDHA
1298,BCKDHB
1299,BCKDK
1300,BCL10
1301,BCL11B
1302,BCL2
1303,BCL2A1
1304,BCL2L1
1305,BCL2L11
1306,BCL2L12
1307,BCL2L13
1308,BCL3
1309,BCL6
1310,BCL7B
1311,BCL7C
1312,BCL9
1313,BCL9L
1314,BCLAF1
1315,BCLAF3
1316,BCOR
1317,BCORL1
1318,BCR
1319,BCS1L
1320,BDH1
1321,BDH2
1322,BDP1
1323,BECN1
1324,BEND4
1325,BEST1
1326,BET1
1327,BET1L
1328,BEX2
1329,BEX3
1330,BEX4
1331,BEX5
1332,BFAR
1333,BFSP2
1334,BFSP2-AS1
1335,BHLHE40
1336,BHLHE40-AS1
1337,BICD1
1338,BICD2
1339,BICDL1
1340,BICRAL
1341,BID
1342,BIK
1343,BIN1
1344,BIN2
1345,BIN3
1346,BIRC2
1347,BIRC3
1348,BIRC6
1349,BISPR
1350,BLCAP
1351,BLK
1352,BLM
1353,BLMH
1354,BLOC1S1
1355,BLOC1S2
1356,BLOC1S4
1357,BLOC1S5
1358,BLOC1S6
1359,BLVRA
1360,BLVRB
1361,BLZF1
1362,BMERB1
1363,BMF
1364,BMI1
1365,BMP2K
1366,BMPR1A
1367,BMPR2
1368,BMS1
1369,BMT2
1370,BNIP1
1371,BNIP2
1372,BNIP3
1373,BNIP3L
1374,BOD1
1375,BOD1L1
1376,BOLA1
1377,BOLA2
1378,BOLA2B
1379,BOLA3
1380,BOP1
1381,BORA
1382,BORCS5
1383,BORCS6
1384,BORCS7
1385,BORCS8
1386,BPGM
1387,BPNT1
1388,BPTF
1389,BRAF
1390,BRAP
1391,BRAT1
1392,BRCA2
1393,BRCC3
1394,BRD1
1395,BRD2
1396,BRD3
1397,BRD3OS
1398,BRD4
1399,BRD7
1400,BRD8
1401,BRD9
1402,BRF1
1403,BRF2
1404,BRI3
1405,BRIX1
1406,BRK1
1407,BRMS1
1408,BRMS1L
1409,BROX
1410,BRPF1
1411,BRPF3
1412,BRWD1
1413,BRWD3
1414,BSCL2
1415,BSDC1
1416,BSG
1417,BST2
1418,BTAF1
1419,BTBD1
1420,BTBD10
1421,BTBD11
1422,BTBD19
1423,BTBD2
1424,BTBD6
1425,BTBD7
1426,BTBD9
1427,BTD
1428,BTF3
1429,BTF3L4
1430,BTG1
1431,BTG2
1432,BTG3
1433,BTLA
1434,BTN2A1
1435,BTN2A2
1436,BTN3A1
1437,BTN3A2
1438,BTN3A3
1439,BTRC
1440,BUB1
1441,BUB3
1442,BUD13
1443,BUD23
1444,BUD31
1445,BX284668.5
1446,BX890604.2
1447,BYSL
1448,BZW1
1449,BZW2
1450,C10orf143
1451,C10orf88
1452,C11orf1
1453,C11orf24
1454,C11orf49
1455,C11orf54
1456,C11orf58
1457,C11orf65
1458,C11orf71
1459,C11orf80
1460,C11orf98
1461,C12orf10
1462,C12orf29
1463,C12orf4
1464,C12orf43
1465,C12orf45
1466,C12orf49
1467,C12orf57
1468,C12orf65
1469,C12orf66
1470,C12orf73
1471,C12orf75
1472,C12orf76
1473,C14orf119
1474,C14orf28
1475,C15orf39
1476,C15orf40
1477,C15orf41
1478,C15orf61
1479,C16orf46
1480,C16orf54
1481,C16orf58
1482,C16orf70
1483,C16orf72
1484,C16orf87
1485,C16orf91
1486,C17orf107
1487,C17orf49
1488,C17orf67
1489,C17orf75
1490,C17orf80
1491,C18orf21
1492,C18orf25
1493,C18orf32
1494,C19orf12
1495,C19orf25
1496,C19orf44
1497,C19orf48
1498,C19orf53
1499,C1D
1500,C1GALT1
1501,C1GALT1C1
1502,C1QBP
1503,C1QTNF6
1504,C1RL
1505,C1RL-AS1
1506,C1S
1507,C1orf109
1508,C1orf112
1509,C1orf122
1510,C1orf131
1511,C1orf159
1512,C1orf162
1513,C1orf174
1514,C1orf198
1515,C1orf21
1516,C1orf216
1517,C1orf35
1518,C1orf43
1519,C1orf50
1520,C1orf52
1521,C1orf54
1522,C1orf56
1523,C1orf61
1524,C20orf194
1525,C20orf27
1526,C21orf62-AS1
1527,C21orf91
1528,C21orf91-OT1
1529,C22orf34
1530,C22orf39
1531,C2CD2L
1532,C2CD3
1533,C2CD5
1534,C2orf27A
1535,C2orf42
1536,C2orf49
1537,C2orf68
1538,C2orf69
1539,C2orf76
1540,C2orf81
1541,C2orf92
1542,C3AR1
1543,C3orf33
1544,C3orf35
1545,C3orf38
1546,C3orf52
1547,C4orf3
1548,C4orf33
1549,C4orf46
1550,C4orf47
1551,C4orf48
1552,C5orf15
1553,C5orf22
1554,C5orf24
1555,C5orf30
1556,C5orf51
1557,C5orf56
1558,C6orf120
1559,C6orf136
1560,C6orf226
1561,C6orf47
1562,C6orf62
1563,C6orf89
1564,C6orf99
1565,C7orf26
1566,C7orf31
1567,C7orf50
1568,C8orf33
1569,C8orf76
1570,C9orf16
1571,C9orf40
1572,C9orf72
1573,C9orf78
1574,C9orf85
1575,CA10
1576,CA11
1577,CA5B
1578,CAAP1
1579,CAB39
1580,CAB39L
1581,CABIN1
1582,CACNA1C-AS1
1583,CACNA1D
1584,CACNA2D2
1585,CACNA2D4
1586,CACNB1
1587,CACTIN
1588,CACUL1
1589,CACYBP
1590,CAD
1591,CADM1
1592,CAGE1
