"","gene_short_name","term","q_value","normalized_effect"
"356","AC011450.1","tissueIEL",1,0.193429738412231
"357","AC011462.5","tissueIEL",1,-0.0644627883952325
"358","AC011468.5","tissueIEL",1,0.401833161783587
"359","AC011476.3","tissueIEL",0.000254836734134181,0.786560085904527
"360","AC011491.3","tissueIEL",1,0.688616581656545
"361","AC011498.1","tissueIEL",1,1.36775092443549
"362","AC011511.2","tissueIEL",1,0.65817422824942
"363","AC011603.2","tissueIEL",0.00662822596784969,-0.493281095355162
"364","AC011611.3","tissueIEL",1,-0.532703538576893
"365","AC011825.4","tissueIEL",1,0.434222526425457
"366","AC011933.4","tissueIEL",1,-0.277851096281619
"367","AC011997.1","tissueIEL",1,0.122138458922269
"368","AC011997.2","tissueIEL",1,-0.0753830986245404
"369","AC012063.1","tissueIEL",1,0.44626782272525
"370","AC012146.1","tissueIEL",1,0.603366286563687
"371","AC012150.1","tissueIEL",1,1.85423936319127e-11
"372","AC012184.3","tissueIEL",1,0.871495765234887
"373","AC012291.3","tissueIEL",1,0.0482158158400801
"374","AC012306.2","tissueIEL",1,-0.00912662821911395
"375","AC012307.1","tissueIEL",1,0.698721427369857
"376","AC012313.1","tissueIEL",1,0.738667296510152
"377","AC012313.6","tissueIEL",1,0.293375073134344
"378","AC012313.7","tissueIEL",1,0.422075814653028
"379","AC012358.3","tissueIEL",1,0.87894105903349
"380","AC012360.1","tissueIEL",1,0.0162516424964138
"381","AC012360.3","tissueIEL",1,-0.151581353792592
"382","AC012368.1","tissueIEL",1,0.0122539480520304
"383","AC012414.5","tissueIEL",1,0.586805792493578
"384","AC012447.1","tissueIEL",0.0254394971850382,1.06079455949738
"385","AC012459.1","tissueIEL",1,-0.0593124861227376
"386","AC012485.3","tissueIEL",1,-0.161543516832068
"387","AC012507.1","tissueIEL",1,0.321034850762252
"388","AC012507.3","tissueIEL",1,-0.389573371612995
"389","AC012615.1","tissueIEL",1,0.0894309379758744
"390","AC012636.1","tissueIEL",1,-0.0916347443780971
"391","AC012640.2","tissueIEL",1,0.709445597993557
"392","AC012645.3","tissueIEL",1,0.744037711540386
"393","AC013264.1","tissueIEL",1,0.00449760479872137
"394","AC013270.1","tissueIEL",1,0.372439694940477
"395","AC013400.1","tissueIEL",1,0.537028201839538
"396","AC013460.1","tissueIEL",1,-0.376753561952233
"397","AC013472.2","tissueIEL",1,0.628988610912524
"398","AC013652.1","tissueIEL",0.136882526329775,1.28389283316774
"399","AC015795.1","tissueIEL",1,0.289591689730668
"400","AC015802.4","tissueIEL",1,0.352552857515619
"401","AC015802.6","tissueIEL",0.0341676959835731,-0.560229519509731
"402","AC015813.1","tissueIEL",1,0.964650976419314
"403","AC015819.2","tissueIEL",1,0.481811807916197
"404","AC015849.1","tissueIEL",0.000201453584482143,0.852641802746012
"405","AC015849.3","tissueIEL",1,0.516501103350737
"406","AC015871.1","tissueIEL",1,0.765994794086141
"407","AC015871.7","tissueIEL",1,1.85423936319127e-11
"408","AC015912.3","tissueIEL",1,0.0296576486763516
"409","AC015923.1","tissueIEL",1,-0.218479039862176
"410","AC015971.1","tissueIEL",1,0.347057138324074
"411","AC015982.2","tissueIEL",1,0.330913050193935
"412","AC015987.1","tissueIEL",1,-0.336063617965123
"413","AC016027.1","tissueIEL",1,1.85423936319127e-11
"414","AC016065.1","tissueIEL",1,0.2796111525228
"415","AC016074.2","tissueIEL",1,0.903868941549696
"416","AC016394.1","tissueIEL",1,0.842369665126202
"417","AC016405.1","tissueIEL",1,0.0162516424964138
"418","AC016405.3","tissueIEL",1,0.691293118933029
"419","AC016526.4","tissueIEL",1,1.85423936319127e-11
"420","AC016590.1","tissueIEL",1,0.829309099601958
"421","AC016596.1","tissueIEL",1,0.583473423410138
"422","AC016727.1","tissueIEL",1,0.386512516860984
"423","AC016747.1","tissueIEL",1,0.293116852125471
"424","AC016773.1","tissueIEL",1,0.409825965160414
"425","AC016821.1","tissueIEL",1,1.85423936319127e-11
"426","AC016831.1","tissueIEL",2.25771639422371e-18,-1.00979128579303
"427","AC016831.5","tissueIEL",0.00925534637972822,-0.665595853372471
"428","AC016831.7","tissueIEL",3.01051163688008e-52,-1.12027003351161
"429","AC016876.1","tissueIEL",1,-0.1303457899205
"430","AC016949.1","tissueIEL",1,1.85423936319127e-11
"431","AC017002.1","tissueIEL",0.00352357009952,-0.759983923334525
"432","AC017002.3","tissueIEL",1,-0.141399315316761
"433","AC017002.5","tissueIEL",1,0.125911192016933
"434","AC017083.1","tissueIEL",1,0.18937921425653
"435","AC017083.2","tissueIEL",1,0.0242101458769122
"436","AC017101.1","tissueIEL",1.97377640716619e-32,-1.82666401176345
"437","AC017104.1","tissueIEL",1,0.501813355567378
"438","AC018362.1","tissueIEL",1,-0.0122973278283023
"439","AC018521.5","tissueIEL",1,0.181547006935925
"440","AC018557.3","tissueIEL",0.041521397676716,-0.51269566156776
"441","AC018647.1","tissueIEL",1,0.876153451890599
"442","AC018647.2","tissueIEL",1,0.735713251045829
"443","AC018653.3","tissueIEL",1,0.372439694940447
"444","AC018682.1","tissueIEL",1,0.621007897872632
"445","AC018742.1","tissueIEL",1,0.0482158158400798
"446","AC018754.1","tissueIEL",0.84382431419317,1.32069153312273
"447","AC018797.3","tissueIEL",0.02429167892245,1.03682085424038
"448","AC018816.1","tissueIEL",1,0.555686326179205
"449","AC018845.3","tissueIEL",1,0.593021764337279
"450","AC018926.2","tissueIEL",1,-0.423159405961779
"451","AC019077.1","tissueIEL",1,1.85423936319127e-11
"452","AC019117.2","tissueIEL",1,-0.376807537054176
"453","AC019129.2","tissueIEL",1,0.878377435047538
"454","AC019163.1","tissueIEL",1,0.498950929777771
"455","AC019205.1","tissueIEL",0.0239227624874482,1.20586262910037
"456","AC020558.1","tissueIEL",1,1.85423936319127e-11
"457","AC020651.2","tissueIEL",1,0.0162516424964138
"458","AC020656.2","tissueIEL",1,1.85423936319127e-11
"459","AC020659.1","tissueIEL",1,0.453353701872704
"460","AC020765.2","tissueIEL",1,0.234463062964633
"461","AC020900.1","tissueIEL",1,-0.0916347443780971
"462","AC020910.5","tissueIEL",1,-0.505437960238462
"463","AC020911.2","tissueIEL",1,-0.0235092489430298
"464","AC020913.1","tissueIEL",1,0.255973202085624
"465","AC020915.2","tissueIEL",0.243680038766358,0.755163054364846
"466","AC020916.1","tissueIEL",2.93369474877642e-12,0.813318509968695
"467","AC020922.4","tissueIEL",1,0.39747121145293
"468","AC021028.1","tissueIEL",1,0.162639411231532
"469","AC021054.1","tissueIEL",1,0.613142956153536
"470","AC021086.1","tissueIEL",1,0.0482158158400801
"471","AC021092.1","tissueIEL",1,1.06851302388558
"472","AC021127.1","tissueIEL",1,-0.528766274068969
"473","AC021151.1","tissueIEL",1,0.458213383018455
"474","AC021188.1","tissueIEL",1,0.112086351046588
"475","AC021660.2","tissueIEL",1,0.281242324917074
"476","AC021660.4","tissueIEL",1,0.424866435224856
"477","AC021683.5","tissueIEL",1,0.91615400029133
"478","AC021739.4","tissueIEL",1,-0.0753830986245422
"479","AC021752.1","tissueIEL",0.0917676788490154,0.901298251265482
"480","AC021851.1","tissueIEL",1,-0.0753830986245357
"481","AC021851.2","tissueIEL",1,0.0323222549655541
"482","AC022075.1","tissueIEL",0.0153941507521437,-0.408762128692894
"483","AC022098.1","tissueIEL",1,0.598356564049631
"484","AC022098.4","tissueIEL",1,0.980421094955371
"485","AC022126.1","tissueIEL",2.78758790356381e-05,-0.603689543412463
"486","AC022137.4","tissueIEL",1,0.869459395296806
"487","AC022146.2","tissueIEL",1,1.21587800316778
"488","AC022182.1","tissueIEL",1.64357779203265e-17,-1.16163417637216
"489","AC022182.2","tissueIEL",1,0.549770308748956
"490","AC022210.2","tissueIEL",1,0.315338447155767
"491","AC022211.2","tissueIEL",1,0.81476151653014
"492","AC022217.3","tissueIEL",3.40345279803825e-20,1.5761861135784
