,Gene stable ID,Gene name_mart,Used by 10X,ultimate_gene_name
68231,ENSG00000301964,,,ENSG00000301964
68232,ENSG00000183921,SDR42E2,True,SDR42E2
68233,ENSG00000250668,LINC02123,True,LINC02123
68234,ENSG00000303116,,,ENSG00000303116
68235,ENSG00000258881,,,ENSG00000258881
68236,ENSG00000309150,,,ENSG00000309150
68237,ENSG00000309715,,,ENSG00000309715
68238,ENSG00000309157,,,ENSG00000309157
68239,ENSG00000305959,,,ENSG00000305959
68240,ENSG00000239322,ATP6V1B1-AS1,,ATP6V1B1-AS1
68241,ENSG00000303557,,,ENSG00000303557
68242,ENSG00000007376,RPUSD1,True,RPUSD1
68243,ENSG00000295425,,,ENSG00000295425
68244,ENSG00000226186,ELOCP21,,ELOCP21
68245,ENSG00000306614,,,ENSG00000306614
68246,ENSG00000309158,,,ENSG00000309158
68247,ENSG00000198742,SMURF1,True,SMURF1
68248,ENSG00000241159,RN7SL160P,,RN7SL160P
68249,ENSG00000276687,,True,AL356130.1
68250,ENSG00000249736,LINC02242,True,LINC02242
68251,ENSG00000144031,ANKRD53,True,ANKRD53
68252,ENSG00000306628,,,ENSG00000306628
68253,ENSG00000271737,,True,AC008608.2
68254,ENSG00000309178,,,ENSG00000309178
68255,ENSG00000249186,,True,AC140125.3
68256,ENSG00000306660,,,ENSG00000306660
68257,ENSG00000306682,,,ENSG00000306682
68258,ENSG00000306704,,,ENSG00000306704
68259,ENSG00000139718,SETD1B,True,SETD1B
68260,ENSG00000250337,PURPL,True,PURPL
68261,ENSG00000306710,,,ENSG00000306710
68262,ENSG00000306719,,,ENSG00000306719
68263,ENSG00000306728,,,ENSG00000306728
68264,ENSG00000306751,,,ENSG00000306751
68265,ENSG00000260273,,True,AL359711.2
68266,ENSG00000226453,LINC02542,True,LINC02542
68267,ENSG00000158104,HPD,True,HPD
68268,ENSG00000124357,NAGK,True,NAGK
68269,ENSG00000306836,,,ENSG00000306836
68270,ENSG00000234956,LINC02539,True,LINC02539
68271,ENSG00000240776,RPS10P4,,RPS10P4
68272,ENSG00000241889,CTDNEP1P1,,CTDNEP1P1
68273,ENSG00000297001,,,ENSG00000297001
68274,ENSG00000273407,,True,AC069294.1
68275,ENSG00000308518,,,ENSG00000308518
68276,ENSG00000178035,IMPDH2,True,IMPDH2
68277,ENSG00000244623,OR2AE1,True,OR2AE1
68278,ENSG00000306892,,,ENSG00000306892
68279,ENSG00000230533,LINC03004,True,LINC03004
68280,ENSG00000237640,,True,AC004522.3
68281,ENSG00000127586,CHTF18,True,CHTF18
68282,ENSG00000199711,Y_RNA,,Y_RNA_ENSG00000199711
68283,ENSG00000222966,,,ENSG00000222966
68284,ENSG00000160862,AZGP1,True,AZGP1
68285,ENSG00000287493,,True,AC069503.4
68286,ENSG00000110801,PSMD9,True,PSMD9
68287,ENSG00000286921,,True,AC004522.4
68288,ENSG00000214313,AZGP1P1,,AZGP1P1_ENSG00000214313
68289,ENSG00000306913,LINC03005,,LINC03005
68290,ENSG00000306931,,,ENSG00000306931
68291,ENSG00000306948,,,ENSG00000306948
68292,ENSG00000306953,,,ENSG00000306953
68293,ENSG00000306972,,,ENSG00000306972
68294,ENSG00000303669,,,ENSG00000303669
68295,ENSG00000306991,,,ENSG00000306991
68296,ENSG00000286923,,True,AC004522.5
68297,ENSG00000307014,,,ENSG00000307014
68298,ENSG00000307068,,,ENSG00000307068
68299,ENSG00000286691,,True,AL590009.1
68300,ENSG00000307095,,,ENSG00000307095
68301,ENSG00000099860,GADD45B,True,GADD45B
68302,ENSG00000307100,,,ENSG00000307100
68303,ENSG00000225752,,True,AL023581.1
68304,ENSG00000307105,,,ENSG00000307105
68305,ENSG00000227014,FKBP14-AS1,True,FKBP14-AS1
68306,ENSG00000307123,,,ENSG00000307123
68307,ENSG00000307138,,,ENSG00000307138
68308,ENSG00000124370,MCEE,True,MCEE
68309,ENSG00000204709,LINC01556,True,LINC01556
68310,ENSG00000106086,PLEKHA8,True,PLEKHA8
68311,ENSG00000307153,,,ENSG00000307153
68312,ENSG00000307179,,,ENSG00000307179
68313,ENSG00000307217,,,ENSG00000307217
68314,ENSG00000231426,FILNC1,True,FILNC1
68315,ENSG00000288065,,True,AC007881.4
68316,ENSG00000248131,LINC01194,True,LINC01194
68317,ENSG00000233870,,,ENSG00000233870
68318,ENSG00000256950,,,ENSG00000256950
68319,ENSG00000136699,SMPD4,True,SMPD4
68320,ENSG00000252962,RNU6-993P,,RNU6-993P
68321,ENSG00000283389,Metazoa_SRP,,Metazoa_SRP_ENSG00000283389
68322,ENSG00000240403,KIR3DL2,True,KIR3DL2
68323,ENSG00000239082,RNU7-170P,,RNU7-170P
68324,ENSG00000158023,CFAP251,True,CFAP251
68325,ENSG00000309191,,,ENSG00000309191
68326,ENSG00000293110,,,ENSG00000293110
68327,ENSG00000309195,,,ENSG00000309195
68328,ENSG00000309199,,,ENSG00000309199
68329,ENSG00000127588,GNG13,True,GNG13
68330,ENSG00000309201,,,ENSG00000309201
68331,ENSG00000309222,,,ENSG00000309222
68332,ENSG00000172123,SLFN12,True,SLFN12
68333,ENSG00000309223,,,ENSG00000309223
68334,ENSG00000290315,,,ENSG00000290315
68335,ENSG00000248118,LINC01019,True,LINC01019
68336,ENSG00000278434,,True,AC023830.3
68337,ENSG00000205832,C16orf96,True,C16orf96
68338,ENSG00000198218,QRICH1,True,QRICH1
68339,ENSG00000261789,,True,AC023830.2
68340,ENSG00000288967,,,ENSG00000288967
68341,ENSG00000261612,SUB1P3,,SUB1P3
68342,ENSG00000249830,LINC02162,True,LINC02162
68343,ENSG00000153443,UBALD1,True,UBALD1
68344,ENSG00000205045,SLFN12L,True,SLFN12L
68345,ENSG00000309248,,,ENSG00000309248
68346,ENSG00000309259,,,ENSG00000309259
68347,ENSG00000309261,,,ENSG00000309261
68348,ENSG00000223548,ACSL6-AS1,True,ACSL6-AS1
68349,ENSG00000263882,RN7SL774P,,RN7SL774P
68350,ENSG00000309271,,,ENSG00000309271
68351,ENSG00000182557,SPNS3,True,SPNS3
68352,ENSG00000248949,,True,AC122719.1
68353,ENSG00000309288,,,ENSG00000309288
68354,ENSG00000309295,,,ENSG00000309295
68355,ENSG00000255856,,True,AC069503.1
68356,ENSG00000249808,LINC01377,True,LINC01377
68357,ENSG00000110987,BCL7A,True,BCL7A
68358,ENSG00000110723,EXPH5,True,EXPH5
68359,ENSG00000309332,,,ENSG00000309332
68360,ENSG00000309369,,,ENSG00000309369
68361,ENSG00000309402,,,ENSG00000309402
68362,ENSG00000102858,MGRN1,True,MGRN1
68363,ENSG00000248489,CHD1-DT,True,CHD1-DT
68364,ENSG00000293140,RPL29P2,,RPL29P2_ENSG00000293140
68365,ENSG00000307256,,,ENSG00000307256
68366,ENSG00000175727,MLXIP,True,MLXIP
68367,ENSG00000307268,,,ENSG00000307268
68368,ENSG00000269292,,True,AC093503.2
68369,ENSG00000309416,,,ENSG00000309416
68370,ENSG00000141510,TP53,True,TP53
68371,ENSG00000269487,,True,AC008635.1
68372,ENSG00000287626,,True,AL021978.1
68373,ENSG00000309430,,,ENSG00000309430
68374,ENSG00000160013,PTGIR,True,PTGIR
68375,ENSG00000231519,,True,AC007285.2
68376,ENSG00000248469,,True,AC139491.1
68377,ENSG00000283618,,,ENSG00000283618
68378,ENSG00000286847,,True,AC007036.5
68379,ENSG00000180354,MTURN,True,MTURN
68380,ENSG00000307274,,,ENSG00000307274
68381,ENSG00000309437,,,ENSG00000309437
68382,ENSG00000230751,,True,AC007036.2
68383,ENSG00000309445,,,ENSG00000309445
68384,ENSG00000251660,,True,AC007036.3
68385,ENSG00000229274,LINC02829,True,LINC02829
68386,ENSG00000288569,LINC01949,,LINC01949_ENSG00000288569
68387,ENSG00000227017,,True,AC007036.1
68388,ENSG00000178202,POGLUT3,True,POGLUT3
68389,ENSG00000268747,COX16P1,,COX16P1
68390,ENSG00000225907,RPS27P16,,RPS27P16
68391,ENSG00000303960,,,ENSG00000303960
68392,ENSG00000182141,ZNF708,True,ZNF708
68393,ENSG00000250697,,True,AC010343.3
68394,ENSG00000308855,,,ENSG00000308855
68395,ENSG00000303436,,,ENSG00000303436
68396,ENSG00000307282,,,ENSG00000307282
68397,ENSG00000294998,,,ENSG00000294998
68398,ENSG00000307289,,,ENSG00000307289
68399,ENSG00000307291,,,ENSG00000307291
68400,ENSG00000295018,,,ENSG00000295018
68401,ENSG00000224164,LINC02828,True,LINC02828
68402,ENSG00000302810,,,ENSG00000302810
68403,ENSG00000231098,,True,AC008154.2
68404,ENSG00000308856,,,ENSG00000308856
