,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
9657,16460,UAP1L1,ENSG00000197355,0.0020802393555641174,0.01836057869039373,0.11330142768529655,10,0
4849,7317,KLC4,ENSG00000137171,0.002078055271080562,0.03669993633972695,0.18389393603577334,7,0
6779,10547,ZYG11B,ENSG00000162378,0.0020769814650217692,0.0271957768273443,0.14772470572341753,15,0
10716,19754,MYOCOS,ENSG00000283683,0.002075500786304474,0.07542787849585052,0.2945723627606423,4,0
1661,2383,PCK2,ENSG00000100889,0.002074399342139562,0.15883503637943053,0.4480626532417909,18,0
10530,18703,NSE4B,ENSG00000255150,0.002061443833204416,0.008350051099769681,0.06357654236928967,13,0
369,538,LMPH1A,ENSG00000037280,0.0020574827988942466,0.2909171092433389,0.6119556208047474,6,0
8347,13501,CTBP2,ENSG00000175029,0.002055048942565918,0.3487608850338253,0.6655106003632812,1,0
2338,3430,NPM3,ENSG00000107833,0.002050967514514923,0.056342889080656086,0.24481430297986168,10,0
1150,1653,FDF03,ENSG00000085514,0.002039270741598947,0.06862324866329082,0.2781006596219989,7,0
4577,6904,EPIP,ENSG00000135069,0.0020305713017781577,0.1519374867759977,0.4379931534792277,3,0
931,1344,HACC275,ENSG00000076555,0.002025194466114044,0.2792476089349022,0.6011977420537087,4,0
1240,1785,ZNF343,ENSG00000088876,0.0020247697830200195,0.30566549771677654,0.6265762512827933,3,0
7064,11065,SCRG-1,ENSG00000164106,0.0020241010934114456,0.054153813152590484,0.2382945477854761,8,0
10386,18234,LRG47,ENSG00000237693,0.0020228322399289986,0.006583922040967845,0.05287483194814147,19,0
7408,11716,SIZN2,ENSG00000166707,0.002019232759873072,0.025520021426969984,0.14097774967483728,6,0
7853,12519,CHRNB1,ENSG00000170175,0.0020126253366470337,0.03592934021554013,0.18181601973222383,9,0
9494,16171,GTF2IRD2,ENSG00000196275,0.0020101383328437806,0.07516334927399078,0.2940868277748834,5,0
2440,3572,VHR,ENSG00000108861,0.0020078927278518676,0.01674036291569292,0.10651875050981828,15,0
10574,18967,CD31,ENSG00000261371,0.002006232738494873,0.3436536699061843,0.6618356733660272,2,0
134,216,LKRSDH,ENSG00000008311,0.002002537250518799,0.2853721646195635,0.6082798692705498,2,0
8670,14158,IGSF22,ENSG00000179057,0.001998415933205531,0.023721693309174074,0.13475672853023885,13,0
9510,16199,ASB13,ENSG00000196372,0.0019937455654144287,0.3607563666258218,0.675190910879591,1,0
9022,14985,ST6GALNACIII,ENSG00000184005,0.0019902288913726807,0.25499114380327736,0.5732491598326822,2,0
4489,6761,FPRP,ENSG00000134247,0.0019858628511428833,0.14614299327448604,0.430483808854664,3,0
856,1232,PR130,ENSG00000073711,0.001982651650905609,0.4964315711997265,0.7730330370335589,2,0
8880,14634,TMIGD,ENSG00000182271,0.00198189914226532,0.36299974181010997,0.6771450582748844,1,0
7328,11582,TRM61,ENSG00000166166,0.0019775845110416414,0.030628351321973273,0.16170759228534895,10,0
8755,14353,C11ORF77,ENSG00000180423,0.0019754916429519653,0.02654206946729323,0.14535136357586614,10,0
25,41,CASP10,ENSG00000003400,0.0019751936197280884,0.035139235587495696,0.17950053938360416,17,0
2577,3772,EXPH5,ENSG00000110723,0.001969267427921295,0.08470381595275873,0.3149932044390597,5,0
1384,1995,HSCDC6,ENSG00000094804,0.0019684769213199615,0.2738425577058654,0.595753877650268,4,0
