standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
H2BC7,19544,H2BC7,ENSG00000277224,0.0001506173894518,0.6341487304053803,0.9087254932264258,21,0,0.04156728815496363
MEF2D,4548,MEF2D,ENSG00000116604,0.0001504451323014,0.4938256132772343,0.8505506006830018,52,0,0.07029984437508922
AHCTF1,9494,ELYS,ENSG00000153207,0.0001502571933305,0.3630182289271702,0.781213547976992,67,0,0.10723023368854942
SIK2,12514,SIK2,ENSG00000170145,0.0001498193156962,0.5331632432295612,0.8677197051696214,49,0,0.06162053998133864
TAPBPL,7676,TAPBPR,ENSG00000139192,0.0001496087227548,0.6128290031272682,0.9003702722262956,28,0,0.045578852655539494
RBM3,2644,RNPL,ENSG00000102317,0.0001495504571545,0.0809342475530546,0.4333517577171035,155,0,0.3631594375556643
ZNF579,17806,ZNF579,ENSG00000218891,0.0001495097364698,0.7022224710081812,0.930162343861222,7,0,0.03144124618797947
NUDT6,12686,ASFGF2,ENSG00000170917,0.0001491568982601,0.749633710908215,0.9425094494887184,4,0,0.025714286915023934
CMTM7,9525,CKLFSF7,ENSG00000153551,0.000148955490682,0.3317571693991916,0.7628623483080812,77,0,0.11755381953320283
PTCD1,3248,PTCD1,ENSG00000106246,0.0001486837863922,0.6885135645007423,0.9293636123158876,6,0,0.031814335601269915
POLR1G,4722,ASE-1,ENSG00000117877,0.0001486192146937,0.7609496879482687,0.944393865023332,3,0,0.02484684285037086
RFX5,8272,RFX5,ENSG00000143390,0.0001485534012317,0.5700750274563654,0.8840402328664985,28,0,0.0535279696992489
CCDC61,3001,CCDC61,ENSG00000104983,0.000148539741834,0.4931101845402932,0.8505506006830018,12,0,0.07029984437508922
KDM4A,960,TDRD14A,ENSG00000066135,0.0001483383774757,0.4706875481998267,0.8380534970670571,25,0,0.07672825733696505
SPSB1,12858,SPSB1,ENSG00000171621,0.0001478800002266,0.8587404221609085,0.9706669464917737,17,0,0.01292975887967693
MOB3A,12962,MOBLAK,ENSG00000172081,0.0001473608490538,0.4313144838051765,0.8222470685039651,73,0,0.08499766620021335
CLHC1,10713,C2ORF63,ENSG00000162994,0.0001469577352205,0.6033659408716576,0.8981727482043078,12,0,0.04664012616490829
AGO1,1974,NEDLBAS,ENSG00000092847,0.0001468926668167,0.7032225837962265,0.9303743159928872,5,0,0.03134228729135121
KDM2B,1807,JHDM1B,ENSG00000089094,0.0001468035691189,0.5503743041198442,0.8754458157814153,53,0,0.05777072866146718
MCCC1,1403,MCCA,ENSG00000078070,0.0001465638478597,0.6151913390918304,0.9013422776331684,15,0,0.04511025778942493
DEK,5527,D6S231E,ENSG00000124795,0.0001461177583663,0.0727670693076068,0.4133666224849169,155,0,0.3836645936396326
KLF6,995,GBF,ENSG00000067082,0.0001453734196413,0.0074141765104888,0.1040234395633892,313,0,0.9828687902583253
INO80B,4360,HMGA1L4,ENSG00000115274,0.0001451447606086,0.5117553922888597,0.8599334171262478,22,0,0.06553517398213735
OPTN,5307,HYPL,ENSG00000123240,0.0001449752076763,0.1611570191247973,0.5887684295404395,107,0,0.23005548543001478
BTG2,10190,TIS21,ENSG00000159388,0.0001448972325306,0.2177691511041045,0.6664977302857916,256,0,0.1762013252089136
SMDT1,14812,C22ORF32,ENSG00000183172,0.0001447406198297,0.3236308340316162,0.7556645493147033,140,0,0.12167095147302448
NARS1,6801,NEDMILG,ENSG00000134440,0.0001445715797358,0.3931388520587909,0.8037354270752098,58,0,0.09488688840451504
MSTO1,5589,MMYAT,ENSG00000125459,0.000144520943815,0.648610011097368,0.9125521066389312,11,0,0.039742327989656136
C6orf62,4010,DJ30M3.2,ENSG00000112308,0.0001437152887499,0.7279148645466123,0.9357242185537922,43,0,0.02885212990316983
SUPT7L,4911,STAF65G,ENSG00000119760,0.0001429946886168,0.4431937753456584,0.8281224141937621,45,0,0.08190546046235389
CRTAP,12541,P3H5,ENSG00000170275,0.0001424366235733,0.3354090926888261,0.7656365524180568,50,0,0.11597734099071912
TRAPPC6B,14659,TRAPPC6B,ENSG00000182400,0.0001420381444471,0.4769393867221888,0.8417275767989508,27,0,0.07482844417324767
CCDC24,10162,CCDC24,ENSG00000159214,0.0001419633626937,0.7692973368619713,0.946805932263158,3,0,0.023739029639148805
ZNF286A,15718,ZNF286A,ENSG00000187607,0.0001418790534922,0.4589983832261429,0.8331960611923147,19,0,0.07925279178056431
OXNAD1,9665,OXNAD1,ENSG00000154814,0.0001418009057812,0.231193233929782,0.6824768204754663,174,0,0.16591209433929233
CEP350,7054,GM133,ENSG00000135837,0.0001417798834426,0.2297501264538706,0.6800424700353226,107,0,0.16746396387313645
LFNG,3213,SCDO3,ENSG00000106003,0.0001416034423387,0.4540975588286662,0.8320150031890108,26,0,0.07986884228685977
TRAF4,1345,RNF83,ENSG00000076604,0.0001413601761062,0.4692313839379565,0.8375820553805752,48,0,0.0769726356900999
NFKB2,1366,NF-KB2,ENSG00000077150,0.0001413531739402,0.229746432741941,0.6800424700353226,108,0,0.16746396387313645
SMAD5,4179,DWFC,ENSG00000113658,0.0001412376295775,0.5243056291248338,0.8658497806436488,32,0,0.06255744874076201
GIMAP2,3300,IMAP2,ENSG00000106560,0.0001409281881488,0.1595766569029737,0.5862168380528932,49,0,0.23194171136937686
CISD2,8571,NAF-1,ENSG00000145354,0.0001409070058302,0.3977793819910629,0.8058334790346456,55,0,0.09375469344060633
UBP1,9527,LBP-1B,ENSG00000153560,0.0001405085272648,0.3207680098962814,0.7551803005997476,34,0,0.1219493474340492
UBE3C,235,NDSMBA,ENSG00000009335,0.0001404278445988,0.31503908101523,0.7509083520617967,64,0,0.12441306515649507
QKI,4038,HQK,ENSG00000112531,0.0001402323444684,0.2544034734924499,0.7064362611149435,105,0,0.1509270166814064
LACC1,14243,FAMIN,ENSG00000179630,0.0001402186850706,0.5870646015935674,0.8906626463190668,12,0,0.0502867612665121
PPP2CB,2928,PPP2CB,ENSG00000104695,0.0001401916146278,0.4415233591955312,0.8274563142292325,25,0,0.08225492563683816
PARP11,3825,ARTD11,ENSG00000111224,0.0001398907043039,0.3208740136103108,0.7551803005997476,32,0,0.1219493474340492
ZNF805,17171,ZNF805,ENSG00000204524,0.0001394839159079,0.6023290592325737,0.8977953111336261,14,0,0.04682266709443513
GGA1,2166,GGA1,ENSG00000100083,0.000139389373362,0.4076113080915067,0.8118170564612935,40,0,0.09054182829687688
RPS12,4009,RPS12,ENSG00000112306,0.0001392601340106,0.0582545571285729,0.3648629063971575,330,0,0.4378702867199917
CRYZL1,17392,CRYZL1,ENSG00000205758,0.0001391745172441,0.3971020875940029,0.8054102509395024,32,0,0.09398284716696705
MBNL2,7770,MBLL,ENSG00000139793,0.0001390578394586,0.3279592296155533,0.759163413958002,110,0,0.1196647298471191
UBTD2,12093,DCUBP,ENSG00000168246,0.0001386751731236,0.6963758242700381,0.9301151308686766,6,0,0.03146329057911955
DUS3L,8078,DUS3,ENSG00000141994,0.0001381838629985,0.5311451594938659,0.8669518989988482,29,0,0.06200499777048217
HSPD1,8441,HSP65,ENSG00000144381,0.0001366898528675,0.0683477786537753,0.3989454588270584,268,0,0.3990864741115755
SRRM1,6639,160-KD,ENSG00000133226,0.0001366851432471,0.1220058100479735,0.5207865921977518,209,0,0.2833402053336563
TPM4,11886,TPM4,ENSG00000167460,0.0001364448485342,0.2118889578289627,0.6601206354314664,148,0,0.18037669095097214
