standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
SOS1,4463,SOS-1,ENSG00000115904,0.0013538698798843,0.0171536442879831,0.1073631657977857,56,0,0.9691446910253215
AKR1A1,4669,AKR1A1,ENSG00000117448,0.0013538332283496,0.0842457845175121,0.3129337864717437,50,0,0.5045475449199651
POMZP3,8751,POMZP3,ENSG00000146707,0.0013536715081759,0.2971249476865309,0.6180868424193978,7,0,0.20895050139356813
UCKL1,16713,URKL1,ENSG00000198276,0.0013533663984976,0.105069833161015,0.3558011115236086,38,0,0.4487926995128703
MRI1,542,MTNA,ENSG00000037757,0.0013532849109691,0.1856865928384137,0.4897826903218159,23,0,0.30999656757912286
LPAR3,12833,LPA3,ENSG00000171517,0.0013530040159821,0.3221340076835433,0.6376892953834334,8,0,0.1953908732666661
SGPP2,10736,SPPASE2,ENSG00000163082,0.0013527423143386,0.6607861670443478,0.8617095790158208,1,0,0.06463907928305582
APOBEC3C,18458,APOBEC3C,ENSG00000244509,0.0013520224226845,0.0850503983730791,0.3150483279755462,45,0,0.5016228209303678
ARB2A,4143,FAM172A,ENSG00000113391,0.0013519221463718,0.053511012124305,0.2348563232947469,74,0,0.6291977423359736
COPS6,12067,CSN6,ENSG00000168090,0.0013516750751119,0.0166110211273904,0.1051344120881938,99,0,0.9782551095294449
PPP1R12B,1368,PPP1R12B,ENSG00000077157,0.0013515326109799,0.2776620069580812,0.5980455415354167,22,0,0.22326574296068671
SCFD2,15014,SCFD2,ENSG00000184178,0.0013506045428718,0.0739584756499718,0.2884272817682259,41,0,0.5399636629504424
GTF2A2,7831,TF2A2,ENSG00000140307,0.0013497559015046,0.0343626878174906,0.1744855494725023,88,0,0.758240534574253
CARD9,15766,IMD103,ENSG00000187796,0.0013496242463588,0.4344937272359608,0.7291358757468792,4,0,0.13719153260323794
PUDP,6117,FAM16AX,ENSG00000130021,0.0013481533775726,0.1961490992309936,0.5027270193551183,12,0,0.29866777273593526
EXOC5,1104,EXOC5,ENSG00000070367,0.001346671421613,0.09535101109268,0.3367611986234193,28,0,0.4726779533793202
CAPN2,10691,CANP2,ENSG00000162909,0.0013458568257154,0.015072436573397,0.0979729419466186,97,0,1.0088938506935923
ZNF17,15467,HPF3,ENSG00000186272,0.0013446320186961,0.3690275099980272,0.6762586227785475,11,0,0.1698871842864578
ZDHHC13,13839,ZDHHC13,ENSG00000177054,0.0013446159660816,0.1301173681698027,0.4023913322030714,20,0,0.3953513828649514
PDIK1L,13511,PDIK1L,ENSG00000175087,0.0013446062803268,0.6029053160950206,0.8331098917388489,2,0,0.07929770900373856
BAG1,3375,BAG1,ENSG00000107262,0.0013436855564654,0.0540736951010701,0.2362924321306901,71,0,0.6265501875361148
RRBP1,5663,ES/130,ENSG00000125844,0.0013431580737233,0.4910546291835581,0.7664632012719318,24,0,0.11550869125732831
TRUB2,11820,TRUB2,ENSG00000167112,0.0013426010097776,0.3493813256152804,0.6623339734491128,7,0,0.17892296788370263
ETFA,7841,GA2,ENSG00000140374,0.0013418472806612,0.048477752656571,0.2196987952599319,75,0,0.6581723245696957
LRRC57,14432,LRRC57,ENSG00000180979,0.0013417589167753,0.15799661124807,0.4461987631475692,18,0,0.350471637904557
ENY2,5015,ENY2,ENSG00000120533,0.0013416140623714,0.0089505402076969,0.066379040917054,92,0,1.1779690268210607
SCNM1,10755,SCNM1,ENSG00000163156,0.0013410589376161,0.0327180568374381,0.1690196192340209,43,0,0.7720628810044434
R3HDM1,650,R3HDM1,ENSG00000048991,0.0013408342545682,0.1388560830384243,0.4151339456333017,44,0,0.38181175277309265
POLR3F,6537,RPC6,ENSG00000132664,0.0013405188918113,0.2811383726372913,0.6014204619601984,10,0,0.2208218001044244
DICER1,2354,GLOW,ENSG00000100697,0.0013404459107753,0.0971325168426408,0.340303197330412,43,0,0.46813397045625793
APBA2,508,HST16821,ENSG00000034053,0.0013402495533227,0.5814697314634847,0.8214195460029643,12,0,0.08543496715045304
FBXL12,5846,FBXL12,ENSG00000127452,0.0013389021158218,0.165404522679718,0.4576452465877332,20,0,0.33947104415395735
CAMK1,6732,CAMK1,ENSG00000134072,0.0013386223997388,0.5687861318403888,0.8154592503276248,7,0,0.08859773640178728
MPZL2,9103,EVA1,ENSG00000149573,0.001338163183795,0.3867184678962947,0.6901129932846893,9,0,0.1610797957229387
AGBL3,8767,CCP3,ENSG00000146856,0.0013361692428588,0.3935601331092249,0.6957140088257988,10,0,0.15756925164524083
RYK,10947,JTK5A,ENSG00000163785,0.0013360439277276,0.0801317581485496,0.3037289243519315,41,0,0.517513847896395
MAN2B1,2940,MAN2B1,ENSG00000104774,0.0013359893290769,0.1172557591309487,0.378347002623065,42,0,0.4221097022922101
HLA-DQA1,16309,DQ-A1,ENSG00000196735,0.0013359572206224,0.3990253820073338,0.7008631812229849,7,0,0.154366754414645
GRIPAP1,1040,GRASP-1,ENSG00000068400,0.0013356945262505,0.1624975224150996,0.4528196636854806,26,0,0.3440747221804863
RNASEH2A,2972,RNASEH2A,ENSG00000104889,0.001335428820716,0.3618627298467092,0.6705637608458918,9,0,0.17355992076989762
RNF146,4782,RNF146,ENSG00000118518,0.0013352167503587,0.09616271024055,0.3384181610141474,29,0,0.47054633884638747
ZNF844,17888,ZNF844,ENSG00000223547,0.0013344436883926,0.8138756438100414,0.9304787306033664,2,0,0.031293549762837915
HKDC1,9849,RP92,ENSG00000156510,0.0013341456651687,0.6665319132316246,0.8643898470543803,1,0,0.06329034289262943
SLC39A9,477,ZIP9,ENSG00000029364,0.0013340628147125,0.1313150735435493,0.4047403239037183,25,0,0.3928235250957816
UBA7,14612,UBA7,ENSG00000182179,0.0013338265319665,0.3395107561930063,0.6532196708715244,24,0,0.18494074551784648
MRPS9,7087,RPMS9,ENSG00000135972,0.0013333828403399,0.0859558088474453,0.3164320237013724,26,0,0.49971957127731687
PHAF1,5550,C16ORF70,ENSG00000125149,0.0013325683772563,0.3253468326479199,0.6393385989475873,10,0,0.19426907500629434
MARS2,18480,MTMETRS,ENSG00000247626,0.0013323694467544,0.9007683164338204,0.9622628393707632,5,0,0.01670628544961156
CCDC88A,4377,GIV,ENSG00000115355,0.0013320231810212,0.6207808055680132,0.842791790926452,8,0,0.07427970321665016
ITGAM,12462,MO1A,ENSG00000169896,0.0013318806886672,0.6672499428860313,0.8647022910956531,1,0,0.06313339032600634
KPNA6,452,IPOA7,ENSG00000025800,0.0013317500014562,0.2220564563232596,0.5355861690913936,37,0,0.2711706466802765
SDHD,17122,CBT1,ENSG00000204370,0.0013307960725378,0.0214196090073993,0.1253456791586011,87,0,0.9018906321877707
SPSB3,10504,C16ORF31,ENSG00000162032,0.0013304867458586,0.0246725715232011,0.1381896278462139,98,0,0.8595245527519878
AGTRAP,13943,AGTRAP,ENSG00000177674,0.0013297535479068,0.0550128562265114,0.2385152539796402,36,0,0.6224838409117415
PAXBP1,10140,PAXBP1,ENSG00000159086,0.001329427984144,0.0491899603218215,0.2218935488990676,56,0,0.6538553238079343
ZNF708,14600,ZNF708,ENSG00000182141,0.0013289772547208,0.1301582896371198,0.4023913322030714,26,0,0.3953513828649514
SNX20,11844,SLIC1,ENSG00000167208,0.0013285810748736,0.1439775893846317,0.4238196824409074,30,0,0.37281887825998866
MAD2L2,4555,MAD2B,ENSG00000116670,0.0013283830264519,0.0431360491278506,0.2029832812224591,29,0,0.6925397314062154
ARHGAP21,3434,ARHGAP21,ENSG00000107863,0.0013280610243479,0.8494139770139969,0.9454707701738794,3,0,0.02435189309965657
ITGA1,17621,VLA1,ENSG00000213949,0.0013280202235494,0.2698884573859071,0.5889023696968163,21,0,0.229956698109979
LSM14A,18803,LSM14A,ENSG00000257103,0.0013280097800906,0.0132034190076637,0.0883721338456691,101,0,1.0536846583457702
DYM,8039,DYM,ENSG00000141627,0.0013276591477259,0.0384643359298151,0.1873190420520194,71,0,0.7274180718625485
ZSWIM7,17717,SPGF71,ENSG00000214941,0.0013271497660561,0.2152230863949872,0.527782008748321,38,0,0.2775454182737943
UVSSA,11003,KIAA1530,ENSG00000163945,0.0013271128492695,0.2461155896666743,0.5641124206913168,14,0,0.24863433782412872
LMTK3,8105,LMTK3,ENSG00000142235,0.0013268329203128,0.3265341867572363,0.6399807111975191,6,0,0.19383311530786126
MAP3K13,1239,MAP3K13,ENSG00000073803,0.0013265120131628,0.0589965876453924,0.2505132660961568,28,0,0.6011692708354364
ADCY3,7479,AC3,ENSG00000138031,0.0013263449072837,0.2195767792850159,0.5330589804454297,11,0,0.27322473569227296
TOGARAM1,16824,KIAA0423,ENSG00000198718,0.0013257377642266,0.0527316576666947,0.2321970896186817,47,0,0.6341432280533797
DTWD1,2847,MDS009,ENSG00000104047,0.0013256940458502,0.2982636224585334,0.6188995137322036,14,0,0.2083798585311376
ADISSP,2457,ADISSP,ENSG00000101220,0.0013250636735132,0.3077382832444376,0.6278794428419207,28,0,0.2021237357766052
CSAD,7744,PCAP,ENSG00000139631,0.0013250148012524,0.2989608375301823,0.6198002030786394,21,0,0.20774828579935273
H1-2,15776,H1.2,ENSG00000187837,0.0013244608655954,0.0109167944421458,0.0767742371835952,78,0,1.1147844899431951
KCNK5,11212,K2P5.1,ENSG00000164626,0.0013241227716207,0.4125529293975828,0.7122407417247645,8,0,0.14737318735907803
ABHD8,5822,ABHD8,ENSG00000127220,0.001323833488501,0.2094096626072425,0.5217546520736792,13,0,0.28253366998474844
TMEM182,12574,TMEM182,ENSG00000170417,0.0013237719734509,0.5328262480348258,0.7937176645159201,3,0,0.10033395418293488
TFB1M,480,MTTFB1,ENSG00000029639,0.0013237493602853,0.1381797952599105,0.4142710272110896,19,0,0.38271543880485986
