standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
MISFA,18478,MISFA,ENSG00000247595,0.0029435753822326,0.1880818235728425,0.4422754210166668,2,0,0.3543071954109509
SIMC1,12503,SIMC1,ENSG00000170085,0.0029401049017906,0.4284236162625431,0.6821077121161754,10,0,0.16614704017627832
S100PBP,4537,S100PBP,ENSG00000116497,0.0029372083289282,0.1336975580522286,0.3640445002461349,14,0,0.43884552560894335
PCK2,2383,PCK2,ENSG00000100889,0.0029360428452491,0.0642317228776846,0.235565311667359,6,0,0.6278886615105637
HMMR,1193,HMMR,ENSG00000072571,0.0029340878129005,0.0401275433173448,0.1746792469622398,10,0,0.7577586889790513
CHAMP1,16878,MRD40,ENSG00000198824,0.0029295645654201,0.0986869948017769,0.303371393563156,4,0,0.5180253734615922
PPM1M,11056,PPM1M,ENSG00000164088,0.0029288157820701,0.0714858011221357,0.2499299308800812,4,0,0.6021817309176615
MTBP,12977,MDM2BP,ENSG00000172167,0.0029277727007865,0.1711111690907193,0.4195321269700043,6,0,0.377234776118835
BCKDK,2809,BCKDK,ENSG00000103507,0.002925805747509,0.161650629352101,0.4075527910657682,6,0,0.3898161283139114
TMEM216,15629,HSPC244,ENSG00000187049,0.00292509496212,0.0451116091683936,0.1865777349519455,10,0,0.7291401835500827
TMEM63A,16144,KIAA0792,ENSG00000196187,0.0029246091842651,0.0089969562364178,0.0614015125403787,10,0,1.2118209304899512
MMAB,7713,CFAP23,ENSG00000139428,0.0029240896304448,0.0499020602538856,0.2000314800015944,12,0,0.6989016517603119
CNGA4,6460,OCNCB,ENSG00000132259,0.0029215589165687,0.2534831714820836,0.5147909747441861,4,0,0.2883690757015217
PBX3,11807,PBX3,ENSG00000167081,0.0029199989512562,0.0300523463549291,0.1444689009948043,16,0,0.8402256309692927
TMEM154,12491,TMEM154,ENSG00000170006,0.0029196672969394,0.0867692187095402,0.2813146090004568,18,0,0.550807713822925
TVP23C,13516,TVP23C,ENSG00000175106,0.0029195124904314,0.0199775244011493,0.1098364063130088,18,0,0.9592536850207724
TMEM14C,3931,NET26,ENSG00000111843,0.0029186274517666,0.0145507827313168,0.0870510928411885,22,0,1.0602257723706754
SLC30A4,2861,SLC30A4,ENSG00000104154,0.0029183998703956,0.2295218684933727,0.4872028477650649,2,0,0.31229018185909135
TGFBI,5039,CDGG1,ENSG00000120708,0.0029127299785614,0.4645457518708932,0.7114272877577115,2,0,0.14786948087737425
PAAF1,13603,PAAF1,ENSG00000175575,0.002912717560927,0.0487321654757396,0.1969770925660835,6,0,0.7055842771409768
TFDP1,16690,TFDP1,ENSG00000198176,0.0029126711189746,0.2458898587008786,0.5072355513085192,10,0,0.294790315071062
PCSK5,2065,PCSK5,ENSG00000099139,0.0029121711850166,0.2287063462164237,0.4869589979841771,2,0,0.3125076049021451
EXD3,15720,MUT-7,ENSG00000187609,0.0029104724526405,0.1931863538027951,0.4488233820168345,2,0,0.34792452604696633
ZNF20,6438,ZNF20,ENSG00000132010,0.0029103737324476,0.2000121086271018,0.4572792288535928,2,0,0.3398185252739029
TAOK2,9141,TAO2,ENSG00000149930,0.0029079541563987,0.2456303195567853,0.507055445717436,2,0,0.2949445486498255
HSPA1L,17131,HUM70T,ENSG00000204390,0.0029067918658256,0.4291870860368113,0.6824519664378925,4,0,0.16592791050710418
GLE1,4849,HGLE1,ENSG00000119392,0.0029054383436838,0.1840639880236845,0.4365957841232734,6,0,0.3599204622614163
TREX1,17587,DRN3,ENSG00000213689,0.0029032714664936,0.0689554099414085,0.2458563873201765,4,0,0.6093185043074268
PIBF1,1590,PIBF1,ENSG00000083535,0.0029031278995367,0.0683008781240371,0.244976219336345,26,0,0.6108760720120503
FRMD4A,9276,BA295P9.4,ENSG00000151474,0.0029022892316182,0.2160197323949572,0.4743653223818014,6,0,0.3238870667953404
FANCL,4385,FANCL,ENSG00000115392,0.0029012113809585,0.2106523046278343,0.4691136084532781,4,0,0.3287219684801646
DNAL1,4887,C14ORF168,ENSG00000119661,0.0028977456192175,0.214663339242381,0.472790350470622,6,0,0.3253313958749556
RNF25,10839,RNF25,ENSG00000163481,0.0028958146770795,0.0755432837754577,0.2583300913174968,6,0,0.5878250025298286
THBS3,12322,TSP3,ENSG00000169231,0.0028944797813892,0.1470362155762504,0.384420948608272,4,0,0.41519295394552563
ZFYVE19,11571,ZFYVE19,ENSG00000166140,0.002891831099987,0.2086213297175375,0.4672238188103977,2,0,0.3304750252401744
CASTOR1,18249,GATSL3,ENSG00000239282,0.0028915256261825,0.2099097084214239,0.4682972919993808,2,0,0.32947835358483507
ZNF778,12508,ZNF778,ENSG00000170100,0.0028887912631034,0.095816585030131,0.2985652241249967,6,0,0.5249607788285245
NR1H3,447,LXRA,ENSG00000025434,0.0028852721055348,0.0661015391255749,0.239770803557725,6,0,0.6202037012444301
