Gene stable ID,Transcript stable ID,Gene name,Transcript name
ENSG00000306721,ENST00000820392,,
ENSG00000306721,ENST00000820393,,
ENSG00000306721,ENST00000820394,,
ENSG00000306721,ENST00000820395,,
ENSG00000306721,ENST00000820396,,
ENSG00000306721,ENST00000820397,,
ENSG00000306721,ENST00000820398,,
ENSG00000306721,ENST00000820399,,
ENSG00000306721,ENST00000820400,,
ENSG00000306721,ENST00000820401,,
ENSG00000306721,ENST00000820402,,
ENSG00000306721,ENST00000820403,,
ENSG00000306721,ENST00000820404,,
ENSG00000306721,ENST00000820405,,
ENSG00000306721,ENST00000820406,,
ENSG00000306721,ENST00000820407,,
ENSG00000306721,ENST00000820408,,
ENSG00000306721,ENST00000820409,,
ENSG00000306721,ENST00000820410,,
ENSG00000306721,ENST00000820411,,
ENSG00000306721,ENST00000820412,,
ENSG00000306721,ENST00000820413,,
ENSG00000306721,ENST00000820414,,
ENSG00000306721,ENST00000820415,,
ENSG00000306721,ENST00000820416,,
ENSG00000306721,ENST00000820417,,
ENSG00000306721,ENST00000820418,,
ENSG00000306721,ENST00000820419,,
ENSG00000306721,ENST00000820420,,
ENSG00000306721,ENST00000820421,,
ENSG00000306721,ENST00000820422,,
ENSG00000306721,ENST00000820423,,
ENSG00000306721,ENST00000820424,,
ENSG00000306721,ENST00000820425,,
ENSG00000306721,ENST00000820426,,
ENSG00000306721,ENST00000820427,,
ENSG00000306721,ENST00000820428,,
ENSG00000306721,ENST00000820429,,
ENSG00000306721,ENST00000820430,,
ENSG00000306721,ENST00000820431,,
ENSG00000306721,ENST00000820432,,
ENSG00000306721,ENST00000820433,,
ENSG00000306721,ENST00000820434,,
ENSG00000306721,ENST00000820435,,
ENSG00000306721,ENST00000820436,,
ENSG00000306721,ENST00000820437,,
ENSG00000306721,ENST00000820438,,
ENSG00000306721,ENST00000820439,,
ENSG00000306721,ENST00000820440,,
ENSG00000306721,ENST00000820441,,
ENSG00000306721,ENST00000820442,,
ENSG00000300051,ENST00000768434,,
ENSG00000300051,ENST00000768435,,
ENSG00000300051,ENST00000768436,,
ENSG00000300051,ENST00000768437,,
ENSG00000300051,ENST00000768438,,
ENSG00000300051,ENST00000768439,,
ENSG00000300051,ENST00000768440,,
ENSG00000300051,ENST00000768441,,
ENSG00000300051,ENST00000768442,,
ENSG00000300051,ENST00000768443,,
ENSG00000300051,ENST00000768444,,
ENSG00000300051,ENST00000768445,,
ENSG00000300051,ENST00000768446,,
ENSG00000300051,ENST00000768447,,
ENSG00000300051,ENST00000768448,,
ENSG00000300051,ENST00000768451,,
ENSG00000300051,ENST00000768453,,
ENSG00000300051,ENST00000768454,,
ENSG00000303750,ENST00000796966,,
ENSG00000278817,ENST00000613204,,
ENSG00000276017,ENST00000617983,,
ENSG00000297072,ENST00000745172,,
ENSG00000297072,ENST00000745173,,
ENSG00000297072,ENST00000745174,,
ENSG00000297072,ENST00000745175,,
ENSG00000297072,ENST00000745176,,
ENSG00000297072,ENST00000745177,,
ENSG00000300074,ENST00000768677,,
ENSG00000300093,ENST00000768746,,
ENSG00000301131,ENST00000776511,,
ENSG00000301131,ENST00000776512,,
ENSG00000300846,ENST00000774500,,
ENSG00000307470,ENST00000826472,,
ENSG00000307470,ENST00000826473,,
ENSG00000307470,ENST00000826474,,
ENSG00000307470,ENST00000826475,,
ENSG00000303733,ENST00000796777,,
ENSG00000305236,ENST00000809737,,
ENSG00000309233,ENST00000839746,,
ENSG00000303902,ENST00000797946,,
ENSG00000303902,ENST00000797947,,
ENSG00000303902,ENST00000797948,,
ENSG00000303902,ENST00000797949,,
ENSG00000303902,ENST00000797950,,
ENSG00000303902,ENST00000797951,,
ENSG00000303902,ENST00000797952,,
ENSG00000303902,ENST00000797953,,
ENSG00000303902,ENST00000797954,,
ENSG00000303902,ENST00000797955,,
ENSG00000303902,ENST00000797956,,
ENSG00000303902,ENST00000797957,,
ENSG00000303902,ENST00000797958,,
ENSG00000303902,ENST00000797959,,
ENSG00000302039,ENST00000783549,,
ENSG00000302039,ENST00000783550,,
ENSG00000302039,ENST00000783551,,
ENSG00000302039,ENST00000783552,,
ENSG00000297844,ENST00000751368,,
ENSG00000277630,ENST00000616049,,
ENSG00000277630,ENST00000616157,,
ENSG00000295160,ENST00000728336,,
ENSG00000295160,ENST00000728337,,
ENSG00000300815,ENST00000774229,,
ENSG00000306528,ENST00000819228,,
ENSG00000306528,ENST00000819229,,
ENSG00000304057,ENST00000799157,,
ENSG00000304057,ENST00000799158,,
ENSG00000296348,ENST00000738464,,
ENSG00000277428,ENST00000618679,Y_RNA,Y_RNA.808-201
ENSG00000307824,ENST00000829179,,
ENSG00000307824,ENST00000829180,,
ENSG00000276256,ENST00000612465,,
ENSG00000295668,ENST00000731702,,
ENSG00000304745,ENST00000805939,,
ENSG00000304745,ENST00000805940,,
ENSG00000304745,ENST00000805941,,
ENSG00000304745,ENST00000805942,,
ENSG00000304745,ENST00000805943,,
ENSG00000304745,ENST00000805944,,
ENSG00000304745,ENST00000805945,,
ENSG00000304745,ENST00000805946,,
ENSG00000304745,ENST00000805947,,
ENSG00000304745,ENST00000805948,,
ENSG00000304745,ENST00000805949,,
ENSG00000304745,ENST00000805950,,
ENSG00000304745,ENST00000805951,,
ENSG00000304745,ENST00000805952,,
ENSG00000304745,ENST00000805953,,
ENSG00000304745,ENST00000805954,,
ENSG00000304745,ENST00000805955,,
ENSG00000304745,ENST00000805956,,
ENSG00000304745,ENST00000805957,,
ENSG00000304745,ENST00000805958,,
ENSG00000304745,ENST00000805959,,
ENSG00000304745,ENST00000805960,,
ENSG00000304745,ENST00000805961,,
ENSG00000304745,ENST00000805962,,
ENSG00000304745,ENST00000805963,,
ENSG00000304745,ENST00000805964,,
ENSG00000304745,ENST00000805965,,
ENSG00000304745,ENST00000805966,,
ENSG00000304745,ENST00000805967,,
